Lokalitet;name;Dybde;Notat
Lista 2;166;91;
Lista 2;167;44;kant
Lista 2;168;26;kant
Lista 2;169;95;kant
Lista 2;170;72;kant
Lista 2;171;67;kant
Lista 2;172;28;kant, hjørne
Lista 2;173;10;kant
Lista 2;174;99;
Lista 2;175;140;
Lista 2;176;119;
Lista 2;177;73;
Lista 2;178;110;
Lista 2;179;47;
Lista 2;180;50;
Lista 2;181;49;yttergrense
Lista 2;182;31;kant
Lista 2;183;40;yttergrense
Lista 2;184;34;
Lista 2;185;64;
Lista 2;186;58;
Lista 2;187;62;
Lista 2;188;132;
Lista 2;189;80;
Lista 2;190;56;
Lista 2;191;46;kant
Lista 2;192;33;kant
Lista 2;193;41;kant
Lista 2;194;71;kant
Lista 2;195;61;kant
Lista 2;196;56;ytterkant
