Lokalitet;name;Dybde;Notat
Marøy;11;192;
Marøy;12;152;
Marøy;13;38;
Marøy;14;108;
Marøy;15;67;
Marøy;16;32;
Marøy;17;122;
Marøy;18;57;
Marøy;19;59;
Marøy;20;188;
Marøy;21;165;
Marøy;22;133;
Marøy;23;37;
Marøy;24;0;fastmark
Marøy;25;0;fastmark
Marøy;26;56;
Marøy;27;0;fastmark
Marøy;28;40;
Marøy;29;69;
Marøy;30;148;tue
Marøy;31;223;
Marøy;32;240;torvprøver 1-4
Marøy;33;172;
Marøy;34;175;tue
Marøy;35;0;rett i stein
Marøy;36;48;
Marøy;37;206;
Marøy;38;222;
Marøy;39;86;
Marøy;40;211;
Marøy;41;188;
Marøy;42;94;
Marøy;43;54;
Marøy;44;45;kant
Marøy;45;0;fastmark
Marøy;46;37;
Marøy;48;0;fastmark, kant
Marøy;49;0;fastmark
Marøy;51;0;fastmark, kant
Marøy;52;94;
Marøy;53;74;
Marøy;54;38;
Marøy;55;28;
Marøy;56;162;
Marøy;57;100;
Marøy;58;58;
Marøy;59;46;
Marøy;60;57;kant
Marøy;61;163;tue, racomitrium
Marøy;62;85;
Marøy;63;282;fjell i bunn, torvprøve
Marøy;64;0;fastmark, kant
Marøy;65;53;myr, kant
Marøy;66;86;
Marøy;67;159;
Marøy;68;73;
Marøy;69;96;
Marøy;70;222;fjell i bunn
Marøy;71;76;
Marøy;72;59;få med fra kant, kantmyr
Marøy;73;113;få med fra kant, kantmyr
Marøy;74;85;
Marøy;75;231;
Marøy;76;53;stein under
Marøy;77;94;grus under
Marøy;78;58;
Marøy;79;54;
Marøy;80;32;kant av myra
Marøy;81;31;kant av myra, berg rett opp i ø
Marøy;82;51;
Marøy;83;106;
Marøy;84;75;
Marøy;85;31;
Marøy;86;107;
Marøy;87;102;
Marøy;88;54;ca 15 m til kantene (kanskje 8m i sø)
Marøy;89;36;2m fra kant
Marøy;90;52;i kant
