"","fid","Dybde","geometry"
"1",1,0.2,c(13286.4142370401, 6783725.94760965)
"2",2,1.7,c(13256.9921845425, 6783734.7742254)
"3",3,2.8,c(13218.7435162957, 6783736.87580058)
"4",4,0.4,c(13185.9589435127, 6783728.8898149)
"5",5,0,c(13158.2181511579, 6783707.45374808)
"6",6,0.2,c(13191.8433540122, 6783697.36618723)
"7",7,0,c(13218.32320126, 6783706.19280297)
"8",8,0,c(13264.5578551847, 6783704.93185787)
"9",9,0,c(13295.2408527893, 6783690.64114665)
"10",10,2.7,c(13291.8783325039, 6783663.74098437)
"11",11,1.4,c(13237.6576929013, 6783661.21909416)
"12",12,0.4,c(13210.7575306178, 6783670.46602494)
"13",13,0.5,c(13158.6384661936, 6783661.21909416)
"14",14,0.9,c(13190.1620938695, 6783636.00019202)
"15",15,0.5,c(13235.9764327584, 6783611.83207746)
"16",16,0,c(13280.9501415763, 6783633.05798677)
"17",17,0.4,c(13194.5754017438, 6783599.22262639)
"18",18,0.6,c(13158.8486237109, 6783605.94766697)
"19",19,0,c(13276.116518666, 6783578.20687461)
"20",20,0.6,c(13259.3039172387, 6783547.94419204)
"21",21,0.4,c(13203.4020174931, 6783555.50986268)
"22",22,0.6,c(13159.6892537822, 6783555.93017772)
"23",23,1.2,c(13228.2006045983, 6783510.53615387)
"24",24,0.2,c(13185.7487859945, 6783526.92844026)
"25",25,1.4,c(13144.137597462, 6783509.69552379)
