;fid;Dybde;x;y
1;1;0.2;13286.41424;6783725.948
2;2;1.7;13256.99218;6783734.774
3;3;2.8;13218.74352;6783736.876
4;4;0.4;13185.95894;6783728.89
5;5;0;13158.21815;6783707.454
6;6;0.2;13191.84335;6783697.366
7;7;0;13218.3232;6783706.193
8;8;0;13264.55786;6783704.932
9;9;0;13295.24085;6783690.641
10;10;2.7;13291.87833;6783663.741
11;11;1.4;13237.65769;6783661.219
12;12;0.4;13210.75753;6783670.466
13;13;0.5;13158.63847;6783661.219
14;14;0.9;13190.16209;6783636
15;15;0.5;13235.97643;6783611.832
16;16;0;13280.95014;6783633.058
17;17;0.4;13194.5754;6783599.223
18;18;0.6;13158.84862;6783605.948
19;19;0;13276.11652;6783578.207
20;20;0.6;13259.30392;6783547.944
21;21;0.4;13203.40202;6783555.51
22;22;0.6;13159.68925;6783555.93
23;23;1.2;13228.2006;6783510.536
24;24;0.2;13185.74879;6783526.928
25;25;1.4;13144.1376;6783509.696
