Nr;UTM_N_ZONE32N;UTM_E_ZONE32N;Linje_nr;Dybde;
1;366381;6721788;1;45;
2;366383;6721775;1;50;
3;366394;6721772;1;90;
4;366392;6721761;1;55;
5;366392;6721752;2;60;
6;366383;6721751;2;75;
7;366381;6721763;2;95;
8;366369;6721771;2;55;
9;366366;6721781;2;30;
10;366371;6721754;3;30;
11;366380;6721745;3;60;
12;366385;6721737;3;65;problem med GPS, (MF): antar et gjennomsnittskoordinat for E
13;366393;6721729;3;95;problem med GPS, (MF): antar et gjennomsnittskoordinat for både N og E
14;366400;6721722;3;50;
15;366393;6721707;4;105;
16;366389;6721728;4;130;
17;366384;6721742;4;125;
18;366386;6721738;4;110;
19;366374;6721738;4;70;
