"","Trimble_ID","mas","Dybde","coords.x1","coords.x2","optional"
"1",5,521.734,1.2,333018.618,6993304.537,TRUE
"2",6,521.323,1.2,333009.211,6993305.666,TRUE
"3",7,520.734,2.7,332999.395,6993306.897,TRUE
"4",8,521.372,2.75,332991.182,6993308.631,TRUE
"5",9,520.928,3.2,332982.212,6993310.261,TRUE
"6",10,520.712,3.6,332972.505,6993312.05,TRUE
"7",11,520.489,2.55,332962.585,6993313.789,TRUE
"8",12,519.047,2.8,332951.98,6993315.167,TRUE
"9",13,518.771,2.2,332941.866,6993316.964,TRUE
"10",14,518.585,2.05,332932.859,6993319.772,TRUE
"11",15,517.816,1.8,332922.7,6993321.48,TRUE
"12",16,516.685,0.8,332912.373,6993322.869,TRUE
"13",17,516.519,0.95,332902.534,6993323.998,TRUE
"14",18,517.367,0.9,332893.525,6993326.322,TRUE
"15",19,516.025,0.85,332883.506,6993328.271,TRUE
"16",20,516.139,1.05,332873.585,6993329.972,TRUE
"17",21,516.408,0.7,332863.701,6993331.885,TRUE
"18",22,522.217,0,333015.369,6993324.023,TRUE
"19",23,520.927,1.55,332995.003,6993328.256,TRUE
"20",24,521.275,0.7,333005.523,6993327.185,TRUE
"21",25,520.01,3.6,332976.327,6993333.194,TRUE
"22",26,519.316,3.5,332956.873,6993337.775,TRUE
"23",27,517.481,3.05,332937.844,6993340.94,TRUE
"24",28,514.452,1.75,332918.199,6993343.59,TRUE
"25",29,518.429,1.25,332899.339,6993350.54,TRUE
"26",30,517.818,1.5,332879.755,6993353.055,TRUE
"27",31,517.773,1.75,332860.509,6993356.709,TRUE
"28",32,518.11,1.6,332865.94,6993375.153,TRUE
"29",33,518.695,1.3,332885.685,6993372.82,TRUE
"30",34,518.858,1.35,332905.726,6993369.789,TRUE
"31",35,521.294,3.8,332924.816,6993365.195,TRUE
"32",36,521.705,3.7,332943.75,6993360.927,TRUE
"33",37,521.468,3.6,332961.958,6993357.022,TRUE
"34",38,522.258,2.5,332981.786,6993352.227,TRUE
"35",39,521.292,3.65,332995.24,6993349.607,TRUE
