"long","lat","var1.pred","var1.var"
-25924,6856659,206.798231796567,19481.940552701
-25923,6856659,206.798231796567,19481.940552701
-25922,6856659,206.798231796567,19481.940552701
-25921,6856659,206.798231796567,19481.940552701
-25920,6856659,206.798231796567,19481.940552701
-25919,6856659,206.798231796567,19481.940552701
-25918,6856659,206.798231796567,19481.940552701
-25917,6856659,206.798231796567,19481.940552701
-25916,6856659,206.798231796567,19481.940552701
-25915,6856659,206.798231796567,19481.940552701
-25914,6856659,206.798231796567,19481.940552701
-25913,6856659,206.798231796567,19481.940552701
-25912,6856659,206.798231796567,19481.940552701
-25911,6856659,206.798231796567,19481.940552701
-25910,6856659,206.798231796567,19481.940552701
-25909,6856659,206.798231796567,19481.940552701
-25908,6856659,206.798231796567,19481.940552701
-25907,6856659,206.798231796567,19481.940552701
-25906,6856659,206.798231796567,19481.940552701
-25905,6856659,206.798231796567,19481.940552701
-25904,6856659,206.798231796567,19481.940552701
-25903,6856659,206.798231796567,19481.940552701
-25902,6856659,206.798231796567,19481.940552701
-25901,6856659,206.798231796567,19481.940552701
-25900,6856659,206.798231796567,19481.940552701
-25899,6856659,206.798231796567,19481.940552701
-25898,6856659,206.798231796567,19481.940552701
-25897,6856659,206.798231796567,19481.940552701
-25896,6856659,206.798231796567,19481.940552701
-25895,6856659,206.798231796567,19481.940552701
-25894,6856659,206.798231796567,19481.940552701
-25893,6856659,206.798231796567,19481.940552701
-25892,6856659,206.798231796567,19481.940552701
-25891,6856659,206.798231796567,19481.940552701
-25890,6856659,206.798231796567,19481.940552701
-25889,6856659,206.798231796567,19481.940552701
-25888,6856659,206.798231796567,19481.940552701
-25887,6856659,206.798231796567,19481.940552701
-25886,6856659,206.798231796567,19481.940552701
-25885,6856659,206.810202705769,19481.7550679063
-25884,6856659,206.855709087526,19481.0460919402
-25883,6856659,206.932738242099,19479.8320295879
-25882,6856659,207.038702652432,19478.1332150536
-25881,6856659,207.171028271814,19475.9651072306
-25880,6856659,207.327157769135,19473.3403205695
-25879,6856659,207.504554026738,19470.2704303954
-25878,6856659,207.70070389382,19466.7675513868
-25877,6856659,207.913122195988,19462.8456889482
-25876,6856659,208.139355998948,19458.5218643649
-25875,6856659,208.37698912127,19453.8170159378
-25874,6856659,208.623646887913,19448.7566797336
-25873,6856659,208.877001112556,19443.3714551601
-25872,6856659,209.134775292934,19437.6972622603
-25871,6856659,209.39474999931,19431.775399397
-25870,6856659,209.65476843194,19425.6524118524
-25869,6856659,209.912742119111,19419.3797837472
-25868,6856659,210.166656722978,19413.0134675732
-25867,6856659,210.414577916205,19406.6132674781
-25866,6856659,210.654657288395,19400.2420941936
-25865,6856659,210.885138237586,19393.9651111204
-25864,6856659,211.104361798802,19387.8487925074
-25863,6856659,211.310772358957,19381.9599158514
-25862,6856659,211.504303113573,19376.3451872306
-25861,6856659,211.694294683084,19370.9248097311
-25860,6856659,211.880804883156,19365.7508331927
-25859,6856659,212.061549236876,19360.8951586641
-25858,6856659,212.234382969587,19356.4149591403
-25857,6856659,212.397306667714,19352.3540023719
-25856,6856659,212.548471567184,19348.7439409952
-25855,6856659,212.686184427981,19345.6055743675
-25854,6856659,212.808911955571,19342.9500844006
-25853,6856659,212.915284734912,19340.7802455536
-25852,6856659,213.004100648267,19339.0916070487
-25851,6856659,213.074327754038,19337.8736433849
-25850,6856659,213.125106610081,19337.1108674197
-25849,6856659,213.155752031416,19336.7838987433
-25848,6856659,213.165754278559,19336.8704788412
-25847,6856659,213.154779678944,19337.3464236788
-25846,6856659,213.122670689681,19338.1865038893
-25845,6856659,213.069445415303,19339.3652427097
-25844,6856659,212.995296598925,19340.8576221986
-25843,6856659,212.900590109383,19342.6396890584
-25842,6856659,212.785862950327,19344.6890525389
-25841,6856659,212.651820819988,19346.9852683617
-25840,6856659,212.499335252288,19349.5101043051
-25839,6856659,212.329440371314,19352.2476849561
-25838,6856659,212.143329291841,19355.1845150675
-25837,6856659,211.942350198767,19358.3093828817
-25836,6856659,211.72800213799,19361.6131465987
-25835,6856659,211.501930550599,19365.0884087963
-25834,6856659,211.265922581303,19368.7290849889
-25833,6856659,211.02190219088,19372.5298735714
-25832,6856659,210.771925101211,19376.4856350968
-25831,6856659,210.5181736002,19380.5906891611
-25830,6856659,210.26295123259,19384.8380370967
-25829,6856659,210.008677401556,19389.2185182257
-25828,6856659,209.757881904782,19393.7199066191
-25827,6856659,209.513199427746,19398.3259541874
-25826,6856659,209.277364015971,19403.0153845417
-25825,6856659,209.053203547162,19407.760840476
-25824,6856659,208.843634223307,19412.5277861946
-25823,6856659,208.651655102065,19417.2733636069
-25822,6856659,208.480342685937,19421.9452002103
-25821,6856659,208.332845586962,19426.4801643294
-25820,6856659,208.212379283751,19430.8030618471
-25819,6856659,208.118888392113,19434.8653189408
-25818,6856659,208.027547047749,19438.9129731771
-25817,6856659,207.933249901967,19442.9681764621
-25816,6856659,207.836815675787,19446.9855905738
-25815,6856659,207.739105324553,19450.9224064307
-25814,6856659,207.641019479109,19454.7389337152
-25813,6856659,207.543495877127,19458.3990712335
-25812,6856659,207.447506802996,19461.8706396109
-25811,6856659,207.354056553319,19465.1255593454
-25810,6856659,207.264178943432,19468.1398588026
-25809,6856659,207.178934868782,19470.8934983781
-25808,6856659,207.099409933249,19473.3699987471
-25807,6856659,207.026712154822,19475.5558628182
-25806,6856659,206.961969757355,19477.4397826914
-25805,6856659,206.906329055482,19479.0116245455
-25804,6856659,206.860952438232,19480.2611859347
-25803,6856659,206.827016455404,19481.1767214359
-25802,6856659,206.805710009423,19481.7432339396
-25801,6856659,206.79823265414,19481.9405301184
-25800,6856659,206.798231796567,19481.940552701
-25799,6856659,206.798231796567,19481.940552701
-25798,6856659,206.798231796567,19481.940552701
-25797,6856659,206.798231796567,19481.940552701
-25796,6856659,206.798231796567,19481.940552701
-25795,6856659,206.798231796567,19481.940552701
-25794,6856659,206.798231796567,19481.940552701
-25793,6856659,206.798231796567,19481.940552701
-25792,6856659,206.798231796567,19481.940552701
-25791,6856659,206.798231796567,19481.940552701
-25790,6856659,206.798231796567,19481.940552701
-25789,6856659,206.798231796567,19481.940552701
-25788,6856659,206.798231796567,19481.940552701
-25787,6856659,206.798231796567,19481.940552701
-25786,6856659,206.798231796567,19481.940552701
-25785,6856659,206.798231796567,19481.940552701
-25784,6856659,206.798231796567,19481.940552701
-25783,6856659,206.798231796567,19481.940552701
-25782,6856659,206.798231796567,19481.940552701
-25781,6856659,206.798231796567,19481.940552701
-25780,6856659,206.798231796567,19481.940552701
-25779,6856659,206.798231796567,19481.940552701
-25778,6856659,206.798231796567,19481.940552701
-25777,6856659,206.798231796567,19481.940552701
-25776,6856659,206.798231796567,19481.940552701
-25775,6856659,206.798231796567,19481.940552701
-25774,6856659,206.798231796567,19481.940552701
-25773,6856659,206.798231796567,19481.940552701
-25772,6856659,206.798231796567,19481.940552701
-25771,6856659,206.798231796567,19481.940552701
-25770,6856659,206.798231796567,19481.940552701
-25769,6856659,206.798231796567,19481.940552701
-25768,6856659,206.798231796567,19481.940552701
-25767,6856659,206.798231796567,19481.940552701
-25766,6856659,206.798231796567,19481.940552701
-25765,6856659,206.798231796567,19481.940552701
-25764,6856659,206.798231796567,19481.940552701
-25763,6856659,206.798231796567,19481.940552701
-25762,6856659,206.798231796567,19481.940552701
-25761,6856659,206.798231796567,19481.940552701
-25760,6856659,206.798231796567,19481.940552701
-25759,6856659,206.798231796567,19481.940552701
-25758,6856659,206.798231796567,19481.940552701
-25757,6856659,206.798231796567,19481.940552701
-25756,6856659,206.798231796567,19481.940552701
-25755,6856659,206.798231796567,19481.940552701
-25754,6856659,206.798231796567,19481.940552701
-25753,6856659,206.798231796567,19481.940552701
-25752,6856659,206.798231796567,19481.940552701
-25751,6856659,206.798231796567,19481.940552701
-25750,6856659,206.798231796567,19481.940552701
-25749,6856659,206.798231796567,19481.940552701
-25748,6856659,206.798231796567,19481.940552701
-25747,6856659,206.798231796567,19481.940552701
-25746,6856659,206.798231796567,19481.940552701
-25745,6856659,206.798231796567,19481.940552701
-25744,6856659,206.798231796567,19481.940552701
-25743,6856659,206.798231796567,19481.940552701
-25742,6856659,206.798231796567,19481.940552701
-25741,6856659,206.798231796567,19481.940552701
-25740,6856659,206.798231796567,19481.940552701
-25739,6856659,206.798231796567,19481.940552701
-25738,6856659,206.798231796567,19481.940552701
-25737,6856659,206.798231796567,19481.940552701
-25736,6856659,206.798231796567,19481.940552701
-25735,6856659,206.798231796567,19481.940552701
-25734,6856659,206.798231796567,19481.940552701
-25733,6856659,206.798231796567,19481.940552701
-25732,6856659,206.798231796567,19481.940552701
-25731,6856659,206.798231796567,19481.940552701
-25730,6856659,206.798231796567,19481.940552701
-25729,6856659,206.798231796567,19481.940552701
-25728,6856659,206.798231796567,19481.940552701
-25727,6856659,206.798231796567,19481.940552701
-25726,6856659,206.798231796567,19481.940552701
-25725,6856659,206.798231796567,19481.940552701
-25724,6856659,206.798231796567,19481.940552701
-25723,6856659,206.798231796567,19481.940552701
-25722,6856659,206.798231796567,19481.940552701
-25721,6856659,206.798231796567,19481.940552701
-25720,6856659,206.798231796567,19481.940552701
-25719,6856659,206.798231796567,19481.940552701
-25718,6856659,206.798231796567,19481.940552701
-25717,6856659,206.798231796567,19481.940552701
-25716,6856659,206.798231796567,19481.940552701
-25715,6856659,206.798231796567,19481.940552701
-25714,6856659,206.798231796567,19481.940552701
-25713,6856659,206.798231796567,19481.940552701
-25712,6856659,206.798231796567,19481.940552701
-25711,6856659,206.798231796567,19481.940552701
-25710,6856659,206.798231796567,19481.940552701
-25709,6856659,206.798231796567,19481.940552701
-25708,6856659,206.798231796567,19481.940552701
-25707,6856659,206.798231796567,19481.940552701
-25706,6856659,206.798231796567,19481.940552701
-25705,6856659,206.798231796567,19481.940552701
-25704,6856659,206.798231796567,19481.940552701
-25703,6856659,206.798231796567,19481.940552701
-25702,6856659,206.798231796567,19481.940552701
-25701,6856659,206.798231796567,19481.940552701
-25700,6856659,206.798231796567,19481.940552701
-25699,6856659,206.798231796567,19481.940552701
-25698,6856659,206.798231796567,19481.940552701
-25697,6856659,206.798231796567,19481.940552701
-25924,6856660,206.798231796567,19481.940552701
-25923,6856660,206.798231796567,19481.940552701
-25922,6856660,206.798231796567,19481.940552701
-25921,6856660,206.798231796567,19481.940552701
-25920,6856660,206.798231796567,19481.940552701
-25919,6856660,206.798231796567,19481.940552701
-25918,6856660,206.798231796567,19481.940552701
-25917,6856660,206.798231796567,19481.940552701
-25916,6856660,206.798231796567,19481.940552701
-25915,6856660,206.798231796567,19481.940552701
-25914,6856660,206.798231796567,19481.940552701
-25913,6856660,206.798231796567,19481.940552701
-25912,6856660,206.798231796567,19481.940552701
-25911,6856660,206.798231796567,19481.940552701
-25910,6856660,206.798231796567,19481.940552701
-25909,6856660,206.798231796567,19481.940552701
-25908,6856660,206.798231796567,19481.940552701
-25907,6856660,206.798231796567,19481.940552701
