"","run","power","nn","RMSE","cor","ME","MAE","run2"
"1","0.5_1",0.5,1,0.660168417519261,0.438394412775363,0.00378188214599824,0.471328056288478,1
"2","0.5_2",0.5,2,0.572734633630808,0.526126384175235,-0.00913564300819779,0.4214415720251,2
"3","0.5_4",0.5,4,0.5177320357988,0.598155795830154,-0.0260219435806629,0.378630804307031,3
"4","0.5_6",0.5,6,0.499483092167932,0.626188950934243,-0.0352024918683305,0.375328304880406,4
"5","0.5_8",0.5,8,0.503019518194109,0.616761571527705,-0.0329419179997766,0.379594467648978,5
"6","0.5_10",0.5,10,0.508226805855573,0.605677397124238,-0.0341083845526511,0.383312655255149,6
"7","0.5_12",0.5,12,0.514137388903949,0.593655536753367,-0.0380092345558886,0.38948401948317,7
"8","0.5_14",0.5,14,0.517108141197561,0.587053101667241,-0.0390822642543375,0.392649066435185,8
"9","0.5_16",0.5,16,0.519082924063994,0.582496938437659,-0.039383299449363,0.396530643994351,9
"10","0.5_18",0.5,18,0.521618034505252,0.576811606165124,-0.0395398356879224,0.39944924904683,10
"11","0.5_20",0.5,20,0.522971208106998,0.573926654315696,-0.0402015388489334,0.40150183349339,11
"12","0.5_22",0.5,22,0.526451725135256,0.566302033704929,-0.0413936009471492,0.405726700635403,12
"13","0.5_24",0.5,24,0.530851987635147,0.556336286500319,-0.0426041191880052,0.409408043700167,13
"14","0.5_26",0.5,26,0.533392795334843,0.550345008946811,-0.0423781568090612,0.411802325802082,14
"15","0.5_28",0.5,28,0.535579004109014,0.54517270037261,-0.0424054273002175,0.413895700893523,15
"16","0.5_30",0.5,30,0.537092559285544,0.541628628265415,-0.0423829023967921,0.41579186133871,16
"17","0.5_1137",0.5,1137,0.628999149143873,0.158807073073036,-0.0209186717882872,0.501144631140106,17
"18","1_1",1,1,0.660168417519261,0.438394412775363,0.00378188214599824,0.471328056288478,18
"19","1_2",1,2,0.576363082409959,0.520947683735975,-0.00512713802526131,0.422849157947544,19
"20","1_4",1,4,0.523670018117182,0.588935709137475,-0.0202246869949167,0.382838091888328,20
"21","1_6",1,6,0.505054922962357,0.61647729481569,-0.0281357126295163,0.377447355775051,21
"22","1_8",1,8,0.505991893545618,0.611438086766003,-0.0269013839614082,0.379370999529767,22
"23","1_10",1,10,0.508326724757587,0.605540368129432,-0.0280463724419323,0.381669619255355,23
"24","1_12",1,12,0.511960245938829,0.597807845437927,-0.0309753052592359,0.385541484446574,24
"25","1_14",1,14,0.513996829250926,0.593138297356638,-0.0321999097103292,0.388249229266186,25
"26","1_16",1,16,0.515016866644006,0.590535706555604,-0.032520948680729,0.391016513632388,26
"27","1_18",1,18,0.516357856255812,0.5874200394722,-0.0327232165654094,0.392719028396748,27
"28","1_20",1,20,0.516792625887318,0.586452020577189,-0.0331798995366342,0.394211237446312,28
"29","1_22",1,22,0.519029847374934,0.581703532152282,-0.0340368543409227,0.397115091597632,29
"30","1_24",1,24,0.522054574185574,0.575198928212042,-0.0351768232719111,0.400155252442858,30
"31","1_26",1,26,0.523568563409847,0.571913817422147,-0.0352835584415612,0.401870733756623,31
"32","1_28",1,28,0.524920666664365,0.568996440767779,-0.0354507919708591,0.403307595025022,32
"33","1_30",1,30,0.525834928817344,0.567102566751718,-0.0355151504194549,0.40462973602427,33
"34","1_1137",1,1137,0.597848455967803,0.376368096291553,-0.0287739866524035,0.477113883588941,34
"35","2_1",2,1,0.660168417519261,0.438394412775363,0.00378188214599824,0.471328056288478,35
"36","2_2",2,2,0.585679516014059,0.509471320018579,-0.00016751052074961,0.428048805208417,36
"37","2_4",2,4,0.540865814491255,0.564766796487479,-0.0109504006370704,0.395301712823268,37
"38","2_6",2,6,0.524999286937764,0.585897154719519,-0.0159473794352819,0.388398138886729,38
"39","2_8",2,8,0.523794844683065,0.583700977619818,-0.0151427926751981,0.388504741064596,39
"40","2_10",2,10,0.52324737264812,0.582187415994604,-0.0155961378451,0.388684182261187,40
"41","2_12",2,12,0.524180858849411,0.578805362886191,-0.0168630955918784,0.39025201826724,41
"42","2_14",2,14,0.524578014520763,0.576761116384422,-0.0176210567321232,0.391602276824852,42
"43","2_16",2,16,0.524609293909154,0.575468962921414,-0.0176590814850857,0.392606413704088,43
"44","2_18",2,18,0.524594971737429,0.574403838232252,-0.0176635003799842,0.392906842363176,44
"45","2_20",2,20,0.524112051641626,0.574504342444586,-0.0176838810385347,0.393190120325704,45
"46","2_22",2,22,0.524666442679226,0.572655241766601,-0.0179114256215034,0.39444454396689,46
"47","2_24",2,24,0.525685059117474,0.570002276315097,-0.0185431331936477,0.395650157056317,47
"48","2_26",2,26,0.525875087260752,0.56905870819634,-0.0187654888856629,0.396134541464729,48
