"","run","power","nn","volume"
"1","0.5_1",0.5,1,101989.3
"2","0.5_2",0.5,2,101689.133108177
"3","0.5_4",0.5,4,102181.959987714
"4","0.5_6",0.5,6,102294.765458479
"5","0.5_8",0.5,8,102288.898736096
"6","0.5_10",0.5,10,102319.140322567
"7","0.5_12",0.5,12,102385.926320859
"8","0.5_14",0.5,14,102366.916975854
"9","0.5_16",0.5,16,102357.5816194
"10","0.5_18",0.5,18,102365.297131523
"11","0.5_20",0.5,20,102367.571544332
"12","0.5_22",0.5,22,102429.454660896
"13","0.5_24",0.5,24,102478.679422693
"14","0.5_26",0.5,26,102525.446986932
"15","0.5_28",0.5,28,102547.567340874
"16","0.5_30",0.5,30,102461.023429878
"17","0.5_1137",0.5,1137,99701.8024857995
"18","1_1",1,1,101989.3
"19","1_2",1,2,101769.397463874
"20","1_4",1,4,102103.035596777
"21","1_6",1,6,102179.542944082
"22","1_8",1,8,102179.9454877
"23","1_10",1,10,102212.232598813
"24","1_12",1,12,102248.519407167
"25","1_14",1,14,102235.238898968
"26","1_16",1,16,102229.417963941
"27","1_18",1,18,102234.782575387
"28","1_20",1,20,102229.089418161
"29","1_22",1,22,102262.395195557
"30","1_24",1,24,102290.862148958
"31","1_26",1,26,102321.547454633
"32","1_28",1,28,102338.838054055
"33","1_30",1,30,102294.71707378
"34","1_1137",1,1137,100756.971976761
"35","2_1",2,1,101989.3
"36","2_2",2,2,101866.85116236
"37","2_4",2,4,102030.348797961
"38","2_6",2,6,102060.218629346
"39","2_8",2,8,102059.776164093
"40","2_10",2,10,102082.002610339
"41","2_12",2,12,102090.93499248
"42","2_14",2,14,102087.327863594
"43","2_16",2,16,102085.288949232
"44","2_18",2,18,102086.477295427
"45","2_20",2,20,102081.111461673
"46","2_22",2,22,102087.251898947
"47","2_24",2,24,102091.510294035
"48","2_26",2,26,102098.137505169
"49","2_28",2,28,102102.198535539
"50","2_30",2,30,102094.658177736
"51","2_1137",2,1137,101905.839342561
"52","3_1",3,1,101989.3
"53","3_2",3,2,101917.208878848
"54","3_4",3,4,102012.883978343
"55","3_6",3,6,102029.12459744
"56","3_8",3,8,102028.538825274
"57","3_10",3,10,102044.697325924
"58","3_12",3,12,102052.385247439
"59","3_14",3,14,102056.4880875
"60","3_16",3,16,102059.522040521
"61","3_18",3,18,102062.720991657
"62","3_20",3,20,102063.567096088
"63","3_22",3,22,102066.8412558
"64","3_24",3,24,102068.750482382
"65","3_26",3,26,102071.271193981
"66","3_28",3,28,102073.075794294
"67","3_30",3,30,102073.445100219
"68","3_1137",3,1137,102105.161651885
"69","4_1",4,1,101989.3
"70","4_2",4,2,101946.39850805
"71","4_4",4,4,102013.671498973
"72","4_6",4,6,102026.27068869
"73","4_8",4,8,102026.670384404
"74","4_10",4,10,102039.310169454
"75","4_12",4,12,102047.003190554
"76","4_14",4,14,102052.554615343
"77","4_16",4,16,102056.813371381
"78","4_18",4,18,102060.454022381
"79","4_20",4,20,102063.19328864
"80","4_22",4,22,102066.192667983
"81","4_24",4,24,102067.960359215
"82","4_26",4,26,102069.912914235
"83","4_28",4,28,102071.392715125
"84","4_30",4,30,102072.706767158
"85","4_1137",4,1137,102097.477719059
