"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","1_1",2.67,NA,3.46,0.79,NA,1,-25820.79133,6856762.097
"2","1_1",1.24,NA,3.94,2.7,NA,2,-25817.89428,6856780.989
"3","1_1",1.88,NA,0.74,-1.14,NA,3,-25810.42453,6856800.084
"4","1_1",0.43,NA,0.49,0.06,NA,4,-25804.9761,6856821.864
"5","1_1",0,NA,0.43,0.43,NA,5,-25786.05038,6856813.421
"6","1_1",0.43,NA,1.88,1.45,NA,6,-25790.71046,6856798.192
"7","1_1",2.6,NA,3.96,1.36,NA,7,-25794.96185,6856779.282
"8","1_1",3.98,NA,4.41,0.43,NA,8,-25799.38267,6856759.267
"9","1_1",4.7,NA,4.02,-0.680000000000001,NA,9,-25803.40184,6856739.755
"10","1_1",1,NA,3.38,2.38,NA,10,-25811.1038,6856721.261
"11","1_1",3.38,NA,1,-2.38,NA,11,-25813.34524,6856716.516
"12","1_1",4.02,NA,3.24,-0.779999999999999,NA,12,-25790.46356,6856726.464
"13","1_1",3.98,NA,4.7,0.72,NA,13,-25786.51023,6856745.194
"14","1_1",4.41,NA,3.98,-0.43,NA,14,-25784.02397,6856762.113
"15","1_1",3.96,NA,2.6,-1.36,NA,15,-25779.69688,6856780.107
"16","1_1",0,NA,1.88,1.88,NA,16,-25774.77781,6856799.141
"17","1_1",0.43,NA,0,-0.43,NA,17,-25771.61378,6856814.487
"18","1_1",1.3,NA,0.65,-0.65,NA,18,-25751.36757,6856811.835
"19","1_1",1.3,NA,3.13,1.83,NA,19,-25753.69416,6856791.725
"20","1_1",3.13,NA,1.3,-1.83,NA,20,-25737.94406,6856796.773
"21","1_1",3.13,NA,3.39,0.26,NA,21,-25756.83314,6856775.131
"22","1_1",3.39,NA,2.96,-0.43,NA,22,-25761.20291,6856755.448
"23","1_1",3.46,NA,2.67,-0.79,NA,23,-25824.23955,6856744.194
"24","1_1",1,NA,1.5,0.5,NA,24,-25828.69639,6856724.298
"25","1_1",1.5,NA,2.27,0.77,NA,25,-25831.71002,6856704.293
"26","1_1",4.11,NA,3.76,-0.350000000000001,NA,26,-25852.62364,6856703.656
"27","1_1",2.08,NA,4.11,2.03,NA,27,-25850.06237,6856722.825
"28","1_1",1.18,NA,4.5,3.32,NA,28,-25847.23897,6856742.294
"29","1_1",1.18,NA,2.82,1.64,NA,29,-25841.3767,6856762.54
"30","1_1",0.96,NA,1.24,0.28,NA,30,-25836.47624,6856781.803
"31","1_1",1.24,NA,1.64,0.4,NA,31,-25832.5326,6856802.231
"32","1_1",1.24,NA,0.96,-0.28,NA,32,-25849.84164,6856787.019
"33","1_1",2.82,NA,1.18,-1.64,NA,33,-25853.85314,6856766.15
"34","1_1",4.5,NA,1.18,-3.32,NA,34,-25862.6308,6856748.047
"35","1_1",4.11,NA,2.08,-2.03,NA,35,-25868.32376,6856728.905
"36","1_2",3.2900233729107,NA,3.46,0.169976627089298,NA,1,-25820.79133,6856762.097
"37","1_2",2.33489912683397,NA,3.94,1.60510087316603,NA,2,-25817.89428,6856780.989
"38","1_2",2.89212833685114,NA,0.74,-2.15212833685114,NA,3,-25810.42453,6856800.084
"39","1_2",0.578797973808246,NA,0.49,-0.0887979738082464,NA,4,-25804.9761,6856821.864
"40","1_2",0.895163078287296,NA,0.43,-0.465163078287296,NA,5,-25786.05038,6856813.421
"41","1_2",1.15420770763586,NA,1.88,0.725792292364141,NA,6,-25790.71046,6856798.192
"42","1_2",2.2825193815892,NA,3.96,1.6774806184108,NA,7,-25794.96185,6856779.282
"43","1_2",4.30417837969832,NA,4.41,0.105821620301676,NA,8,-25799.38267,6856759.267
"44","1_2",3.98614897171013,NA,4.02,0.0338510282898685,NA,9,-25803.40184,6856739.755
"45","1_2",1.11358525675407,NA,3.38,2.26641474324593,NA,10,-25811.1038,6856721.261
"46","1_2",2.94071409123252,NA,1,-1.94071409123252,NA,11,-25813.34524,6856716.516
"47","1_2",4.354640925475,NA,3.24,-1.114640925475,NA,12,-25790.46356,6856726.464
"48","1_2",3.9996298162688,NA,4.7,0.700370183731197,NA,13,-25786.51023,6856745.194
"49","1_2",4.54843908370463,NA,3.98,-0.568439083704634,NA,14,-25784.02397,6856762.113
"50","1_2",3.96904725777031,NA,2.6,-1.36904725777031,NA,15,-25779.69688,6856780.107
"51","1_2",0.931318999173796,NA,1.88,0.948681000826203,NA,16,-25774.77781,6856799.141
"52","1_2",1.12631040911988,NA,0,-1.12631040911988,NA,17,-25771.61378,6856814.487
"53","1_2",2.21344826711805,NA,0.65,-1.56344826711805,NA,18,-25751.36757,6856811.835
"54","1_2",2.33408982710817,NA,3.13,0.795910172891832,NA,19,-25753.69416,6856791.725
"55","1_2",2.01281177247883,NA,1.3,-0.712811772478833,NA,20,-25737.94406,6856796.773
"56","1_2",3.05251097351076,NA,3.39,0.337489026489243,NA,21,-25756.83314,6856775.131
"57","1_2",3.66074696937444,NA,2.96,-0.700746969374437,NA,22,-25761.20291,6856755.448
"58","1_2",2.5347338223218,NA,2.67,0.135266177678205,NA,23,-25824.23955,6856744.194
"59","1_2",2.16821719336277,NA,1.5,-0.668217193362775,NA,24,-25828.69639,6856724.298
"60","1_2",2.61098272120173,NA,2.27,-0.340982721201726,NA,25,-25831.71002,6856704.293
"61","1_2",3.22619348273203,NA,3.76,0.533806517267974,NA,26,-25852.62364,6856703.656
"62","1_2",2.91798821172562,NA,4.11,1.19201178827438,NA,27,-25850.06237,6856722.825
"63","1_2",2.51349845290068,NA,4.5,1.98650154709932,NA,28,-25847.23897,6856742.294
"64","1_2",1.20371209823154,NA,2.82,1.61628790176846,NA,29,-25841.3767,6856762.54
"65","1_2",2.25767775593546,NA,1.24,-1.01767775593546,NA,30,-25836.47624,6856781.803
"66","1_2",0.998176357743634,NA,1.64,0.641823642256366,NA,31,-25832.5326,6856802.231
"67","1_2",1.21581819501573,NA,0.96,-0.255818195015729,NA,32,-25849.84164,6856787.019
"68","1_2",2.17661149771387,NA,1.18,-0.996611497713873,NA,33,-25853.85314,6856766.15
"69","1_2",3.40762745877223,NA,1.18,-2.22762745877223,NA,34,-25862.6308,6856748.047
"70","1_2",2.67203378956855,NA,2.08,-0.592033789568551,NA,35,-25868.32376,6856728.905
"71","1_4",3.43373213102455,NA,3.46,0.0262678689754519,NA,1,-25820.79133,6856762.097
"72","1_4",2.29902500206234,NA,3.94,1.64097499793766,NA,2,-25817.89428,6856780.989
"73","1_4",2.02696507926286,NA,0.74,-1.28696507926286,NA,3,-25810.42453,6856800.084
"74","1_4",1.07361037088286,NA,0.49,-0.583610370882858,NA,4,-25804.9761,6856821.864
"75","1_4",1.04226208690057,NA,0.43,-0.61226208690057,NA,5,-25786.05038,6856813.421
"76","1_4",1.69852088331663,NA,1.88,0.181479116683368,NA,6,-25790.71046,6856798.192
"77","1_4",3.15344694218106,NA,3.96,0.806553057818941,NA,7,-25794.96185,6856779.282
"78","1_4",4.16002330311674,NA,4.41,0.249976696883262,NA,8,-25799.38267,6856759.267
"79","1_4",3.94346084087366,NA,4.02,0.07653915912634,NA,9,-25803.40184,6856739.755
"80","1_4",1.82682626313254,NA,3.38,1.55317373686746,NA,10,-25811.1038,6856721.261
"81","1_4",2.88561094592512,NA,1,-1.88561094592512,NA,11,-25813.34524,6856716.516
"82","1_4",3.42177586278692,NA,3.24,-0.181775862786921,NA,12,-25790.46356,6856726.464
"83","1_4",3.91686970254493,NA,4.7,0.783130297455074,NA,13,-25786.51023,6856745.194
"84","1_4",3.95377874237125,NA,3.98,0.0262212576287526,NA,14,-25784.02397,6856762.113
"85","1_4",3.02706046290948,NA,2.6,-0.427060462909483,NA,15,-25779.69688,6856780.107
"86","1_4",1.17808042225496,NA,1.88,0.701919577745043,NA,16,-25774.77781,6856799.141
"87","1_4",1.15651239340895,NA,0,-1.15651239340895,NA,17,-25771.61378,6856814.487
"88","1_4",1.56153098611873,NA,0.65,-0.91153098611873,NA,18,-25751.36757,6856811.835
"89","1_4",1.84999628347126,NA,3.13,1.28000371652874,NA,19,-25753.69416,6856791.725
"90","1_4",2.27072910745949,NA,1.3,-0.970729107459487,NA,20,-25737.94406,6856796.773
"91","1_4",2.6213697431759,NA,3.39,0.768630256824103,NA,21,-25756.83314,6856775.131
"92","1_4",3.68343388197983,NA,2.96,-0.723433881979834,NA,22,-25761.20291,6856755.448
"93","1_4",3.33237338864555,NA,2.67,-0.662373388645548,NA,23,-25824.23955,6856744.194
"94","1_4",2.30764630926184,NA,1.5,-0.807646309261844,NA,24,-25828.69639,6856724.298
"95","1_4",2.52501447117506,NA,2.27,-0.255014471175063,NA,25,-25831.71002,6856704.293
"96","1_4",2.66073845759039,NA,3.76,1.09926154240961,NA,26,-25852.62364,6856703.656
"97","1_4",2.98860491186398,NA,4.11,1.12139508813602,NA,27,-25850.06237,6856722.825
"98","1_4",2.61881570610811,NA,4.5,1.88118429389189,NA,28,-25847.23897,6856742.294
"99","1_4",2.39472091423413,NA,2.82,0.425279085765873,NA,29,-25841.3767,6856762.54
"100","1_4",2.25137621642564,NA,1.24,-1.01137621642564,NA,30,-25836.47624,6856781.803
"101","1_4",1.63944485996437,NA,1.64,0.000555140035627399,NA,31,-25832.5326,6856802.231
"102","1_4",1.62003372627857,NA,0.96,-0.660033726278565,NA,32,-25849.84164,6856787.019
"103","1_4",1.72722754501053,NA,1.18,-0.547227545010533,NA,33,-25853.85314,6856766.15
"104","1_4",2.73815013139169,NA,1.18,-1.55815013139169,NA,34,-25862.6308,6856748.047
"105","1_4",3.29684108989231,NA,2.08,-1.21684108989231,NA,35,-25868.32376,6856728.905
"106","1_6",3.19410513520656,NA,3.46,0.265894864793438,NA,1,-25820.79133,6856762.097
"107","1_6",2.47694373913425,NA,3.94,1.46305626086575,NA,2,-25817.89428,6856780.989
"108","1_6",2.09189182631244,NA,0.74,-1.35189182631244,NA,3,-25810.42453,6856800.084
"109","1_6",1.02654572880268,NA,0.49,-0.536545728802676,NA,4,-25804.9761,6856821.864
"110","1_6",1.15888320626788,NA,0.43,-0.728883206267881,NA,5,-25786.05038,6856813.421
"111","1_6",1.61877961975191,NA,1.88,0.261220380248094,NA,6,-25790.71046,6856798.192
"112","1_6",2.95508913919003,NA,3.96,1.00491086080997,NA,7,-25794.96185,6856779.282
"113","1_6",4.02482118959111,NA,4.41,0.385178810408889,NA,8,-25799.38267,6856759.267
"114","1_6",3.34987613114134,NA,4.02,0.670123868858662,NA,9,-25803.40184,6856739.755
"115","1_6",1.94265764856962,NA,3.38,1.43734235143038,NA,10,-25811.1038,6856721.261
"116","1_6",2.97801075021074,NA,1,-1.97801075021074,NA,11,-25813.34524,6856716.516
"117","1_6",3.59953144370365,NA,3.24,-0.359531443703655,NA,12,-25790.46356,6856726.464
"118","1_6",3.73918342313504,NA,4.7,0.96081657686496,NA,13,-25786.51023,6856745.194
"119","1_6",3.8225672911757,NA,3.98,0.157432708824304,NA,14,-25784.02397,6856762.113
"120","1_6",3.09180671029896,NA,2.6,-0.49180671029896,NA,15,-25779.69688,6856780.107
"121","1_6",1.39265298505119,NA,1.88,0.487347014948807,NA,16,-25774.77781,6856799.141
"122","1_6",1.32680062782664,NA,0,-1.32680062782664,NA,17,-25771.61378,6856814.487
"123","1_6",1.63068392026129,NA,0.65,-0.980683920261285,NA,18,-25751.36757,6856811.835
"124","1_6",1.71760330754837,NA,3.13,1.41239669245163,NA,19,-25753.69416,6856791.725
"125","1_6",2.03322248431606,NA,1.3,-0.733222484316063,NA,20,-25737.94406,6856796.773
"126","1_6",2.7017779380074,NA,3.39,0.688222061992595,NA,21,-25756.83314,6856775.131
"127","1_6",3.70212844028577,NA,2.96,-0.742128440285768,NA,22,-25761.20291,6856755.448
"128","1_6",3.26392270501229,NA,2.67,-0.593922705012292,NA,23,-25824.23955,6856744.194
"129","1_6",2.87479400523015,NA,1.5,-1.37479400523015,NA,24,-25828.69639,6856724.298
"130","1_6",2.67152843776857,NA,2.27,-0.40152843776857,NA,25,-25831.71002,6856704.293
"131","1_6",2.6931900741214,NA,3.76,1.0668099258786,NA,26,-25852.62364,6856703.656
"132","1_6",2.65505144427725,NA,4.11,1.45494855572275,NA,27,-25850.06237,6856722.825
"133","1_6",2.33711269026477,NA,4.5,2.16288730973523,NA,28,-25847.23897,6856742.294
"134","1_6",2.27468208001656,NA,2.82,0.545317919983435,NA,29,-25841.3767,6856762.54
"135","1_6",2.25853273019148,NA,1.24,-1.01853273019148,NA,30,-25836.47624,6856781.803
"136","1_6",1.61790841405128,NA,1.64,0.0220915859487234,NA,31,-25832.5326,6856802.231
"137","1_6",2.08720351175083,NA,0.96,-1.12720351175083,NA,32,-25849.84164,6856787.019
"138","1_6",2.29888658082689,NA,1.18,-1.11888658082689,NA,33,-25853.85314,6856766.15
"139","1_6",2.91796320937889,NA,1.18,-1.73796320937889,NA,34,-25862.6308,6856748.047
"140","1_6",2.86273859286931,NA,2.08,-0.782738592869306,NA,35,-25868.32376,6856728.905
"141","1_8",3.38320391623298,NA,3.46,0.076796083767023,NA,1,-25820.79133,6856762.097
