"","run","power","nn","volume"
"1","1_1",1,1,33957.89
"2","1_2",1,2,34257.1306901723
"3","1_4",1,4,34598.8123941468
"4","1_6",1,6,34756.511884264
"5","1_8",1,8,34884.7502492327
"6","1_10",1,10,35083.2381528014
"7","1_12",1,12,35165.2944313249
"8","1_14",1,14,35349.1381810306
"9","1_16",1,16,35442.0768182837
"10","1_18",1,18,35547.1421598105
"11","1_20",1,20,35571.1545442335
"12","1_22",1,22,35549.9856492145
"13","1_24",1,24,35372.5769232355
"14","1_26",1,26,35148.4357937449
"15","1_28",1,28,34912.1371629238
"16","1_30",1,30,34694.3640803028
"17","1_35",1,35,34117.0708905615
"18","2_1",2,1,33957.89
"19","2_2",2,2,34182.0127245842
"20","2_4",2,4,34407.2358725897
"21","2_6",2,6,34483.1419194396
"22","2_8",2,8,34540.7993668177
"23","2_10",2,10,34613.7435248662
"24","2_12",2,12,34634.5475751205
"25","2_14",2,14,34687.8030900177
"26","2_16",2,16,34707.7367519058
"27","2_18",2,18,34728.9220338032
"28","2_20",2,20,34728.7098450735
"29","2_22",2,22,34714.9996579133
"30","2_24",2,24,34661.1213943145
"31","2_26",2,26,34601.4553805427
"32","2_28",2,28,34536.9961776607
"33","2_30",2,30,34479.4084526682
"34","2_35",2,35,34336.3085059972
"35","3_1",3,1,33957.89
"36","3_2",3,2,34133.8159138297
"37","3_4",3,4,34282.7748347138
"38","3_6",3,6,34317.7248235845
"39","3_8",3,8,34342.921556551
"40","3_10",3,10,34367.8547030324
"41","3_12",3,12,34372.0991782629
"42","3_14",3,14,34383.4099920952
"43","3_16",3,16,34384.5264068172
"44","3_18",3,18,34385.8368070093
"45","3_20",3,20,34382.7312759281
"46","3_22",3,22,34376.8005130484
"47","3_24",3,24,34363.2687351763
"48","3_26",3,26,34350.4379251113
"49","3_28",3,28,34336.6950140187
"50","3_30",3,30,34325.3276663664
"51","3_35",3,35,34299.4642954522
"52","4_1",4,1,33957.89
"53","4_2",4,2,34101.4700694987
"54","4_4",4,4,34203.4781353357
"55","4_6",4,6,34220.1725300347
"56","4_8",4,8,34231.565359592
"57","4_10",4,10,34240.534337267
"58","4_12",4,12,34241.6929725997
"59","4_14",4,14,34243.8725269379
"60","4_16",4,16,34243.2117470458
"61","4_18",4,18,34242.7743497726
"62","4_20",4,20,34241.5546926721
"63","4_22",4,22,34239.8791158794
"64","4_24",4,24,34236.877868224
"65","4_26",4,26,34234.3304544491
"66","4_28",4,28,34231.6924996784
"67","4_30",4,30,34229.7201935378
"68","4_35",4,35,34225.5515777481
