"","run","power","nn","RMSE","cor","ME","MAE","run2"
"1","1_1",1,1,0.677054575754957,0.350498899534835,-0.0194202898550725,0.502608695652174,1
"2","1_2",1,2,0.551746494822299,0.550136469162422,-0.00468529501660855,0.401060384398073,2
"3","1_4",1,4,0.551580628518109,0.542347812792889,-0.0286484596257193,0.422292086779283,3
"4","1_6",1,6,0.542722709914465,0.542813409180628,-0.0361362615853677,0.430243402349488,4
"5","1_8",1,8,0.535992734626621,0.558145830235498,-0.0559855040930852,0.423208418308699,5
"6","1_10",1,10,0.538584670563786,0.557197321271313,-0.0656971222255665,0.433100665131044,6
"7","1_12",1,12,0.555456229603846,0.515364108338745,-0.0703071776284998,0.454647770073918,7
"8","1_14",1,14,0.558650675367903,0.509490014723925,-0.0747331269395358,0.455694389227406,8
"9","1_16",1,16,0.559931982682978,0.511683218993512,-0.0853096210048136,0.459545650594203,9
"10","1_18",1,18,0.56438294534292,0.504584621206783,-0.0915371738113632,0.467555163670513,10
"11","1_20",1,20,0.565649394871444,0.503942102237971,-0.0893139930484609,0.468958357724305,11
"12","1_22",1,22,0.569577775149671,0.490979251999645,-0.083813654139644,0.470350656874425,12
"13","1_24",1,24,0.573067359661117,0.482171944587995,-0.0833505632818551,0.473516641433902,13
"14","1_26",1,26,0.571468139335987,0.488997626027178,-0.0798915357292157,0.475392595499614,14
"15","1_28",1,28,0.577734651306028,0.465830108338815,-0.0768960249741917,0.480543260359419,15
"16","1_30",1,30,0.57969464717513,0.463589618906324,-0.0763520625844941,0.483408951059603,16
"17","1_69",1,69,0.601686991148155,0.466129512410777,-0.0343010246759596,0.506683702989218,17
"18","2_1",2,1,0.677054575754957,0.350498899534835,-0.0194202898550725,0.502608695652174,18
"19","2_2",2,2,0.555000327873792,0.547158416512013,-0.00721270724590822,0.403918014003733,19
"20","2_4",2,4,0.549002855283317,0.548204812721369,-0.0262347640597252,0.417281640210815,20
"21","2_6",2,6,0.539074485715299,0.553182410395936,-0.0283789695109736,0.420420282436974,21
"22","2_8",2,8,0.530387976387633,0.568878140891623,-0.0400771604181877,0.411828228373323,22
"23","2_10",2,10,0.528438877867363,0.573079154915695,-0.0453495870599265,0.416537613552572,23
