"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","1_1",1.88,NA,1.92,0.04,NA,1,-25280.1736794519,6859376.52279135
"2","1_1",0.59,NA,1.52,0.93,NA,2,-25279.216706126,6859396.5036215
"3","1_1",0.57,NA,0.38,-0.19,NA,3,-25278.1241740288,6859417.3682769
"4","1_1",1.22,NA,1.08,-0.14,NA,4,-25275.1842312092,6859437.9496435
"5","1_1",1.08,NA,0.67,-0.41,NA,5,-25277.5674292982,6859457.99037469
"6","1_1",1.22,NA,0.32,-0.9,NA,6,-25298.3283242715,6859455.06791894
"7","1_1",1.08,NA,1.22,0.14,NA,7,-25295.0668296764,6859435.11861719
"8","1_1",0.38,NA,0.57,0.19,NA,8,-25293.7523458396,6859414.45021317
"9","1_1",1.52,NA,0.59,-0.93,NA,9,-25292.0025160508,6859394.50659241
"10","1_1",1.92,NA,1.88,-0.04,NA,10,-25289.9509099945,6859374.06439918
"11","1_1",1.33,NA,1.65,0.32,NA,11,-25278.1089421393,6859356.87014427
"12","1_1",1.65,NA,1.33,-0.32,NA,12,-25278.6474936422,6859337.50361731
"13","1_1",0.56,NA,0.37,-0.19,NA,13,-25281.2048280087,6859317.65511798
"14","1_1",0.37,NA,0.56,0.19,NA,14,-25280.6819560147,6859306.26732239
"15","1_1",0.69,NA,0.4,-0.29,NA,15,-25261.2393738661,6859291.07386826
"16","1_1",1.48,NA,0.69,-0.79,NA,16,-25258.069643539,6859311.3938384
"17","1_1",0.69,NA,1.48,0.79,NA,17,-25251.9570199798,6859330.47103606
"18","1_1",1.48,NA,2.23,0.75,NA,18,-25253.6394649175,6859350.85654509
"19","1_1",1.72,NA,2.4,0.68,NA,19,-25253.3369496884,6859371.50308014
"20","1_1",1.75,NA,1.72,-0.03,NA,20,-25251.022755014,6859390.82347272
"21","1_1",1.72,NA,1.75,0.03,NA,21,-25245.9977279053,6859409.50204824
"22","1_1",2.06,NA,0.48,-1.58,NA,22,-25225.0557506843,6859420.65163302
"23","1_1",2.22,NA,2.06,-0.16,NA,23,-25224.9437951067,6859401.29848039
"24","1_1",0.86,NA,2.22,1.36,NA,24,-25227.6143322031,6859382.82426704
"25","1_1",2.22,NA,0.86,-1.36,NA,25,-25229.7928732454,6859364.38769309
"26","1_1",0.86,NA,2.11,1.25,NA,26,-25229.6658600895,6859345.48454124
"27","1_1",0.94,NA,1.88,0.94,NA,27,-25230.5338398112,6859325.37703989
"28","1_1",1.88,NA,0.94,-0.94,NA,28,-25228.2615062564,6859306.3711182
"29","1_1",0.45,NA,0.54,0.09,NA,29,-25228.3923931231,6859286.48983871
"30","1_1",0.37,NA,0.45,0.08,NA,30,-25228.5311171194,6859267.96667413
