Kolonne1;run;power;nn;RMSE;cor;ME;MAE;run2
10;0.5_25;0.5;25;0.817295365;-0.892258118;0.007635926;0.616117186;10
9;0.5_20;0.5;20;0.825259338;-0.70109039;0.050803132;0.605438032;9
8;0.5_15;0.5;15;0.827316125;-0.499340501;0.021696113;0.625344822;8
6;0.5_12;0.5;12;0.828347945;-0.481569272;0.014529301;0.627089156;6
7;0.5_14;0.5;14;0.831940953;-0.499601784;0.013552954;0.629771835;7
20;1_25;1;25;0.836800148;-0.770582567;0.014673078;0.625369199;20
19;1_20;1;20;0.843737309;-0.6780009;0.043565143;0.622004228;19
18;1_15;1;15;0.847348716;-0.591047026;0.024626639;0.634817369;18
16;1_12;1;12;0.84999118;-0.59065061;0.020010753;0.636860257;16
17;1_14;1;14;0.851512043;-0.585575605;0.018864147;0.638627583;17
30;2_25;2;25;0.887011697;-0.633529016;0.029614573;0.654376212;30
5;0.5_10;0.5;10;0.890262527;-0.687927278;0.014760709;0.673667766;5
29;2_20;2;20;0.891281627;-0.611818275;0.040973417;0.65680344;29
28;2_15;2;15;0.894994471;-0.599951939;0.034711671;0.662870741;28
27;2_14;2;14;0.897784131;-0.59751711;0.032209296;0.663964811;27
15;1_10;1;10;0.897904818;-0.693002629;0.02193137;0.676703879;15
26;2_12;2;12;0.898310865;-0.601024287;0.033069229;0.665425063;26
4;0.5_8;0.5;8;0.898918684;-0.603535645;0.031991009;0.677686924;4
2;0.5_4;0.5;4;0.900703537;-0.340245365;0.07113417;0.649269951;2
14;1_8;1;8;0.905312187;-0.636651566;0.037029376;0.679330309;14
3;0.5_6;0.5;6;0.914275189;-0.610380015;0.044005899;0.679416901;3
12;1_4;1;4;0.915839114;-0.374871266;0.072754482;0.65839442;12
13;1_6;1;6;0.919765435;-0.610901273;0.050237804;0.679560116;13
25;2_10;2;10;0.92468958;-0.632968298;0.035865585;0.687377611;25
24;2_8;2;8;0.930669891;-0.612941416;0.046339068;0.68831074;24
23;2_6;2;6;0.943369302;-0.573786482;0.058313538;0.68818661;23
40;3_25;3;25;0.944552358;-0.557572474;0.042203845;0.690165186;40
39;3_20;3;20;0.946573343;-0.552029605;0.045969202;0.691289624;39
38;3_15;3;15;0.948951611;-0.549543507;0.044238487;0.694181418;38
37;3_14;3;14;0.950526353;-0.548634;0.043207545;0.694909107;37
36;3_12;3;12;0.951433728;-0.5485517;0.043460733;0.695952744;36
22;2_4;2;4;0.952069074;-0.42121707;0.072033349;0.681855813;22
35;3_10;3;10;0.96469212;-0.559508987;0.045368059;0.707242228;35
34;3_8;3;8;0.969209547;-0.551594371;0.051873231;0.707235086;34
33;3_6;3;6;0.979019109;-0.53006675;0.060581364;0.707982564;33
32;3_4;3;4;0.992065045;-0.443799854;0.067793604;0.709053269;32
50;4_25;4;25;1.000693471;-0.512425593;0.048385966;0.723080864;50
49;4_20;4;20;1.001479782;-0.510961269;0.049509447;0.723422774;49
48;4_15;4;15;1.002670451;-0.51016618;0.049032055;0.724686404;48
47;4_14;4;14;1.003438627;-0.509797748;0.048591716;0.725081152;47
46;4_12;4;12;1.004084664;-0.509431306;0.048528332;0.725679874;46
45;4_10;4;10;1.010264595;-0.512873817;0.049501799;0.730678297;45
44;4_8;4;8;1.013102351;-0.509284651;0.053371828;0.730242445;44
43;4_6;4;6;1.019602279;-0.49990301;0.05899903;0.730936397;43
42;4_4;4;4;1.031819403;-0.453318048;0.062304692;0.735516235;42
1;0.5_2;0.5;2;1.105751093;-0.593929443;0.046436971;0.817054136;1
11;1_2;1;2;1.114416649;-0.587126688;0.043000702;0.82399164;11
21;2_2;2;2;1.1329236;-0.570631563;0.03693994;0.837940871;21
31;3_2;3;2;1.151490024;-0.553701286;0.032420849;0.852986631;31
41;4_2;4;2;1.168671954;-0.538596888;0.029611274;0.866355065;41
