"","run","power","nn","RMSE","cor","ME","MAE","run2"
"1","1_1",1,1,1.2364465212859,-0.363913414781833,0.168,0.856,1
"2","1_2",1,2,1.11441664896152,-0.587126688399174,0.043000702245819,0.823991639705113,2
"3","1_4",1,4,0.915839114022674,-0.374871266275459,0.0727544815778096,0.658394419957355,3
"4","1_6",1,6,0.919765434747375,-0.610901273014182,0.0502378036602563,0.679560115698037,4
"5","1_8",1,8,0.905312187017039,-0.636651566005697,0.0370293763611349,0.679330309036791,5
"6","1_10",1,10,0.897904817799787,-0.693002629151204,0.0219313703618111,0.676703879488721,6
"7","1_12",1,12,0.849991179655306,-0.590650610211081,0.0200107534698406,0.636860256679889,7
"8","1_14",1,14,0.851512043019566,-0.585575605421566,0.0188641466410728,0.638627582956231,8
"9","1_16",1,16,0.851594567123161,-0.6457222305816,0.0241153267058035,0.637105790878363,9
"10","1_18",1,18,0.844918696774538,-0.677543580319198,0.0320527548299254,0.628879271534245,10
"11","1_20",1,20,0.843737309067772,-0.678000900253232,0.0435651434470276,0.622004228036684,11
"12","1_22",1,22,0.841733076987373,-0.755966472819512,0.0322320180195544,0.624112456784227,12
"13","1_24",1,24,0.836800147588876,-0.770582567416194,0.0146730781812514,0.625369199376443,13
"14","1_25",1,25,0.836800147588876,-0.770582567416194,0.0146730781812514,0.625369199376443,14
"15","2_1",2,1,1.2364465212859,-0.363913414781833,0.168,0.856,15
"16","2_2",2,2,1.13292360021871,-0.570631562751711,0.0369399395621049,0.837940871132501,16
"17","2_4",2,4,0.952069074376257,-0.421217070373433,0.0720333486865038,0.681855812738498,17
"18","2_6",2,6,0.943369302401464,-0.573786482156709,0.0583135379758223,0.688186610301455,18
"19","2_8",2,8,0.930669890616427,-0.612941416410159,0.0463390677967079,0.688310740148561,19
"20","2_10",2,10,0.924689579828886,-0.63296829782087,0.0358655854080091,0.687377610820773,20
"21","2_12",2,12,0.898310864880515,-0.60102428697356,0.0330692286348788,0.665425063357179,21
"22","2_14",2,14,0.897784131115423,-0.597517109579119,0.0322092962602221,0.663964811471724,22
"23","2_16",2,16,0.896253344842425,-0.609531247596188,0.0345282746138262,0.663050766189232,23
"24","2_18",2,18,0.892390596058668,-0.612660246587557,0.0369708289286768,0.659358518230382,24
"25","2_20",2,20,0.891281626877384,-0.611818274845197,0.0409734167727811,0.656803440209301,25
"26","2_22",2,22,0.88944656006738,-0.630316255078124,0.0357090225022964,0.655570295629891,26
"27","2_24",2,24,0.88701169748261,-0.633529016086411,0.0296145732893801,0.654376212089188,27
"28","2_25",2,25,0.88701169748261,-0.633529016086411,0.0296145732893801,0.654376212089188,28
"29","3_1",3,1,1.2364465212859,-0.363913414781833,0.168,0.856,29
"30","3_2",3,2,1.15149002420981,-0.553701285727261,0.0324208489528451,0.852986631041054,30
"31","3_4",3,4,0.992065045249522,-0.443799853988237,0.0677936035693843,0.709053268967624,31
"32","3_6",3,6,0.979019109429441,-0.530066750286076,0.0605813643293965,0.707982563925641,32
"33","3_8",3,8,0.969209546689634,-0.551594370955138,0.0518732308454884,0.707235086387588,33
"34","3_10",3,10,0.964692119998999,-0.55950898681118,0.0453680588196493,0.707242227539178,34
"35","3_12",3,12,0.951433727503157,-0.548551699508655,0.0434607333221898,0.695952744446605,35
"36","3_14",3,14,0.950526353044552,-0.548634000467285,0.0432075447892335,0.694909106750164,36
"37","3_16",3,16,0.949199634584167,-0.550873113481769,0.0442738509651989,0.693729667622445,37
"38","3_18",3,18,0.947301537451232,-0.551721528300802,0.0448118341618461,0.692333795524712,38
"39","3_20",3,20,0.946573343085869,-0.552029605282247,0.0459692019479675,0.691289624479662,39
"40","3_22",3,22,0.945528273543936,-0.556624438363039,0.0439674470355431,0.690781399514538,40
"41","3_24",3,24,0.944552357595137,-0.557572473947553,0.042203844614532,0.690165185657837,41
"42","3_25",3,25,0.944552357595137,-0.557572473947553,0.042203844614532,0.690165185657837,42
"43","4_1",4,1,1.2364465212859,-0.363913414781833,0.168,0.856,43
"44","4_2",4,2,1.16867195407669,-0.538596888254127,0.0296112736733881,0.866355065308651,44
"45","4_4",4,4,1.03181940333334,-0.453318047933726,0.0623046917213026,0.735516235282111,45
"46","4_6",4,6,1.01960227907178,-0.499903010306732,0.0589990296682316,0.730936397162516,46
"47","4_8",4,8,1.01310235147384,-0.509284651437733,0.0533718283940499,0.730242445360339,47
"48","4_10",4,10,1.01026459459047,-0.51287381680382,0.0495017988904186,0.730678296795163,48
"49","4_12",4,12,1.00408466389649,-0.509431306071968,0.0485283317220872,0.725679874315707,49
"50","4_14",4,14,1.00343862709666,-0.509797748366121,0.0485917156209232,0.725081152124472,50
"51","4_16",4,16,1.00266417125941,-0.510297156843569,0.0491297224346552,0.724285562795696,51
"52","4_18",4,18,1.00184505447678,-0.510715482233758,0.0491874448245096,0.723802030022906,52
"53","4_20",4,20,1.00147978196295,-0.510961269061996,0.0495094466360335,0.723422773561458,53
"54","4_22",4,22,1.00102607982229,-0.512138798673248,0.0488410225697894,0.723257620975515,54
"55","4_24",4,24,1.00069347087367,-0.51242559303429,0.0483859655050447,0.723080863707812,55
"56","4_25",4,25,1.00069347087367,-0.51242559303429,0.0483859655050447,0.723080863707812,56
