"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","0.5_2",0.847239067257374,NA,0.2,-0.647239067257374,NA,1,13286.4142370401,6783725.94760965
"2","0.5_2",0.100056043428344,NA,1.7,1.59994395657166,NA,2,13256.9921845425,6783734.7742254
"3","0.5_2",0.195252057285888,NA,2.8,2.60474794271411,NA,3,13218.7435162957,6783736.87580058
"4","0.5_2",1.48345310136942,NA,0.4,-1.08345310136942,NA,4,13185.9589435127,6783728.8898149
"5","0.5_2",0.300034091744704,NA,0,-0.300034091744704,NA,5,13158.2181511579,6783707.45374808
"6","0.5_2",0.19306284957062,NA,0.2,0.00693715042938003,NA,6,13191.8433540122,6783697.36618723
"7","0.5_2",1.46921581683346,NA,0,-1.46921581683346,NA,7,13218.32320126,6783706.19280297
"8","0.5_2",0.94714356236137,NA,0,-0.94714356236137,NA,8,13264.5578551847,6783704.93185787
"9","0.5_2",1.42484425295166,NA,0,-1.42484425295166,NA,9,13295.2408527893,6783690.64114665
"10","0.5_2",0,NA,2.7,2.7,NA,10,13291.8783325039,6783663.74098437
"11","0.5_2",0.226979388717342,NA,1.4,1.17302061128266,NA,11,13237.6576929013,6783661.21909416
"12","0.5_2",0.82174246172303,NA,0.4,-0.42174246172303,NA,12,13210.7575306178,6783670.46602494
"13","0.5_2",0.465258761251479,NA,0.5,0.0347412387485212,NA,13,13158.6384661936,6783661.21909416
"14","0.5_2",0.4,NA,0.9,0.5,NA,14,13190.1620938695,6783636.00019202
"15","0.5_2",0.883430234180118,NA,0.5,-0.383430234180118,NA,15,13235.9764327584,6783611.83207746
"16","0.5_2",1.71594923355972,NA,0,-1.71594923355972,NA,16,13280.9501415763,6783633.05798677
"17","0.5_2",0.749297758765182,NA,0.4,-0.349297758765182,NA,17,13194.5754017438,6783599.22262639
"18","0.5_2",0.638933285874029,NA,0.6,-0.0389332858740291,NA,18,13158.8486237109,6783605.94766697
"19","0.5_2",0.555153995223868,NA,0,-0.555153995223868,NA,19,13276.116518666,6783578.20687461
"20","0.5_2",0.54908792870226,NA,0.6,0.0509120712977398,NA,20,13259.3039172387,6783547.94419204
"21","0.5_2",0.386851548497387,NA,0.4,0.0131484515026135,NA,21,13203.4020174931,6783555.50986268
"22","0.5_2",0.297141085020972,NA,0.6,0.302858914979028,NA,22,13159.6892537822,6783555.93017772
"23","0.5_2",0.396661225626832,NA,1.2,0.803338774373168,NA,23,13228.2006045983,6783510.53615387
"24","0.5_2",0.496277693095138,NA,0.2,-0.296277693095138,NA,24,13185.7487859945,6783526.92844026
"25","0.5_2",0.396010275438788,NA,1.4,1.00398972456121,NA,25,13144.137597462,6783509.69552379
"26","0.5_4",0.990920239791713,NA,0.2,-0.790920239791713,NA,1,13286.4142370401,6783725.94760965
"27","0.5_4",0.732980855957518,NA,1.7,0.967019144042482,NA,2,13256.9921845425,6783734.7742254
"28","0.5_4",0.56528718960637,NA,2.8,2.23471281039363,NA,3,13218.7435162957,6783736.87580058
"29","0.5_4",0.764521411559307,NA,0.4,-0.364521411559307,NA,4,13185.9589435127,6783728.8898149
"30","0.5_4",0.284899319571723,NA,0,-0.284899319571723,NA,5,13158.2181511579,6783707.45374808
"31","0.5_4",0.198002231148107,NA,0.2,0.00199776885189321,NA,6,13191.8433540122,6783697.36618723
"32","0.5_4",0.969465486062691,NA,0,-0.969465486062691,NA,7,13218.32320126,6783706.19280297
"33","0.5_4",0.503421282814338,NA,0,-0.503421282814338,NA,8,13264.5578551847,6783704.93185787
"34","0.5_4",1.17198470114241,NA,0,-1.17198470114241,NA,9,13295.2408527893,6783690.64114665
"35","0.5_4",0.294497924910626,NA,2.7,2.40550207508937,NA,10,13291.8783325039,6783663.74098437
"36","0.5_4",0.238667898287353,NA,1.4,1.16133210171265,NA,11,13237.6576929013,6783661.21909416
"37","0.5_4",0.641307518349957,NA,0.4,-0.241307518349957,NA,12,13210.7575306178,6783670.46602494
"38","0.5_4",0.385154862541422,NA,0.5,0.114845137458578,NA,13,13158.6384661936,6783661.21909416
"39","0.5_4",0.473018904304979,NA,0.9,0.426981095695021,NA,14,13190.1620938695,6783636.00019202
"40","0.5_4",0.669571333235641,NA,0.5,-0.169571333235641,NA,15,13235.9764327584,6783611.83207746
"41","0.5_4",1.25023161979383,NA,0,-1.25023161979383,NA,16,13280.9501415763,6783633.05798677
"42","0.5_4",0.606554890923661,NA,0.4,-0.206554890923661,NA,17,13194.5754017438,6783599.22262639
"43","0.5_4",0.598173900470044,NA,0.6,0.00182609952995549,NA,18,13158.8486237109,6783605.94766697
"44","0.5_4",0.389069076220572,NA,0,-0.389069076220572,NA,19,13276.116518666,6783578.20687461
"45","0.5_4",0.503639817581911,NA,0.6,0.0963601824180894,NA,20,13259.3039172387,6783547.94419204
"46","0.5_4",0.575143612537997,NA,0.4,-0.175143612537997,NA,21,13203.4020174931,6783555.50986268
"47","0.5_4",0.633951890375778,NA,0.6,-0.0339518903757777,NA,22,13159.6892537822,6783555.93017772
