"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","1_1",0,NA,0.2,0.2,NA,1,13286.4142370401,6783725.94760965
"2","1_1",0.2,NA,1.7,1.5,NA,2,13256.9921845425,6783734.7742254
"3","1_1",0,NA,2.8,2.8,NA,3,13218.7435162957,6783736.87580058
"4","1_1",0.2,NA,0.4,0.2,NA,4,13185.9589435127,6783728.8898149
"5","1_1",0.4,NA,0,-0.4,NA,5,13158.2181511579,6783707.45374808
"6","1_1",0,NA,0.2,0.2,NA,6,13191.8433540122,6783697.36618723
"7","1_1",0.2,NA,0,-0.2,NA,7,13218.32320126,6783706.19280297
"8","1_1",0.2,NA,0,-0.2,NA,8,13264.5578551847,6783704.93185787
"9","1_1",2.7,NA,0,-2.7,NA,9,13295.2408527893,6783690.64114665
"10","1_1",0,NA,2.7,2.7,NA,10,13291.8783325039,6783663.74098437
"11","1_1",0.4,NA,1.4,1,NA,11,13237.6576929013,6783661.21909416
"12","1_1",1.4,NA,0.4,-1,NA,12,13210.7575306178,6783670.46602494
"13","1_1",0.9,NA,0.5,-0.4,NA,13,13158.6384661936,6783661.21909416
"14","1_1",0.4,NA,0.9,0.5,NA,14,13190.1620938695,6783636.00019202
"15","1_1",0.4,NA,0.5,0.1,NA,15,13235.9764327584,6783611.83207746
"16","1_1",2.7,NA,0,-2.7,NA,16,13280.9501415763,6783633.05798677
"17","1_1",0.6,NA,0.4,-0.2,NA,17,13194.5754017438,6783599.22262639
"18","1_1",0.4,NA,0.6,0.2,NA,18,13158.8486237109,6783605.94766697
"19","1_1",0.6,NA,0,-0.6,NA,19,13276.116518666,6783578.20687461
"20","1_1",0,NA,0.6,0.6,NA,20,13259.3039172387,6783547.94419204
"21","1_1",0.2,NA,0.4,0.2,NA,21,13203.4020174931,6783555.50986268
"22","1_1",0.2,NA,0.6,0.4,NA,22,13159.6892537822,6783555.93017772
"23","1_1",0.2,NA,1.2,1,NA,23,13228.2006045983,6783510.53615387
"24","1_1",0.4,NA,0.2,-0.2,NA,24,13185.7487859945,6783526.92844026
"25","1_1",0.2,NA,1.4,1.2,NA,25,13144.137597462,6783509.69552379
"26","1_2",0.844478192772676,NA,0.2,-0.644478192772676,NA,1,13286.4142370401,6783725.94760965
"27","1_2",0.100112086821483,NA,1.7,1.59988791317852,NA,2,13256.9921845425,6783734.7742254
"28","1_2",0.19050946319157,NA,2.8,2.60949053680843,NA,3,13218.7435162957,6783736.87580058
"29","1_2",1.46691156345428,NA,0.4,-1.06691156345428,NA,4,13185.9589435127,6783728.8898149
"30","1_2",0.300068183481483,NA,0,-0.300068183481483,NA,5,13158.2181511579,6783707.45374808
"31","1_2",0.186142371273789,NA,0.2,0.0138576287262113,NA,6,13191.8433540122,6783697.36618723
"32","1_2",1.43846613872259,NA,0,-1.43846613872259,NA,7,13218.32320126,6783706.19280297
"33","1_2",0.944287207588555,NA,0,-0.944287207588555,NA,8,13264.5578551847,6783704.93185787
"34","1_2",1.49922983094962,NA,0,-1.49922983094962,NA,9,13295.2408527893,6783690.64114665
"35","1_2",0,NA,2.7,2.7,NA,10,13291.8783325039,6783663.74098437
"36","1_2",0.252994428003714,NA,1.4,1.14700557199629,NA,11,13237.6576929013,6783661.21909416
"37","1_2",0.843427896026974,NA,0.4,-0.443427896026974,NA,12,13210.7575306178,6783670.46602494
"38","1_2",0.480482474462079,NA,0.5,0.0195175255379213,NA,13,13158.6384661936,6783661.21909416
"39","1_2",0.4,NA,0.9,0.5,NA,14,13190.1620938695,6783636.00019202
"40","1_2",0.866896823214319,NA,0.5,-0.366896823214319,NA,15,13235.9764327584,6783611.83207746
"41","1_2",1.82935017349798,NA,0,-1.82935017349798,NA,16,13280.9501415763,6783633.05798677
"42","1_2",0.748595548312372,NA,0.4,-0.348595548312372,NA,17,13194.5754017438,6783599.22262639
"43","1_2",0.627909858585944,NA,0.6,-0.0279098585859436,NA,18,13158.8486237109,6783605.94766697
"44","1_2",0.560199614780461,NA,0,-0.560199614780461,NA,19,13276.116518666,6783578.20687461
"45","1_2",0.498903761276497,NA,0.6,0.101096238723503,NA,20,13259.3039172387,6783547.94419204
"46","1_2",0.373816264263783,NA,0.4,0.0261837357362171,NA,21,13203.4020174931,6783555.50986268
"47","1_2",0.2942868396335,NA,0.6,0.3057131603665,NA,22,13159.6892537822,6783555.93017772
