;run;power;nn;volume
41;4_2;4;2;23619.61932
31;3_2;3;2;23635.67553
1;0.5_2;0.5;2;23815.95283
21;2_2;2;2;23933.82009
2;0.5_4;0.5;4;23978.72572
42;4_4;4;4;23999.28376
32;3_4;3;4;24019.53792
22;2_4;2;4;24053.25024
3;0.5_6;0.5;6;24072.13467
43;4_6;4;6;24086.74482
23;2_6;2;6;24099.89871
33;3_6;3;6;24102.53934
4;0.5_8;0.5;8;24106.69891
44;4_8;4;8;24113.78224
24;2_8;2;8;24121.85291
5;0.5_10;0.5;10;24123.58909
34;3_8;3;8;24125.41374
45;4_10;4;10;24126.8559
6;0.5_12;0.5;12;24133.62817
25;2_10;2;10;24133.75485
35;3_10;3;10;24135.10628
46;4_12;4;12;24135.12428
7;0.5_14;0.5;14;24140.24247
36;3_12;3;12;24140.91955
47;4_14;4;14;24140.93362
26;2_12;2;12;24140.94862
11;1_2;1;2;24141.1
12;1_4;1;4;24141.1
13;1_6;1;6;24141.1
14;1_8;1;8;24141.1
15;1_10;1;10;24141.1
16;1_12;1;12;24141.1
17;1_14;1;14;24141.1
18;1_15;1;15;24141.1
19;1_20;1;20;24141.1
20;1_25;1;25;24141.1
8;0.5_15;0.5;15;24142.74671
48;4_15;4;15;24143.2192
37;3_14;3;14;24145.0183
27;2_14;2;14;24145.66215
38;3_15;3;15;24146.65789
28;2_15;2;15;24147.43781
9;0.5_20;0.5;20;24150.70228
49;4_20;4;20;24150.7784
39;3_20;3;20;24152.27552
29;2_20;2;20;24153.05879
10;0.5_25;0.5;25;24154.58028
50;4_25;4;25;24154.59436
40;3_25;3;25;24155.27281
30;2_25;2;25;24155.78539
