;run;power;nn;volume
1;1_1;1;1;24141.1
2;1_2;1;2;24141.1
3;1_4;1;4;24141.1
4;1_6;1;6;24141.1
5;1_8;1;8;24141.1
6;1_10;1;10;24141.1
7;1_12;1;12;24141.1
8;1_14;1;14;24141.1
9;1_16;1;16;24141.1
10;1_18;1;18;24141.1
11;1_20;1;20;24141.1
12;1_22;1;22;24141.1
13;1_24;1;24;24141.1
14;1_25;1;25;24141.1
15;2_1;2;1;23795.97252
16;2_2;2;2;23933.82009
17;2_4;2;4;24053.25024
18;2_6;2;6;24099.89871
19;2_8;2;8;24121.85291
20;2_10;2;10;24133.75485
21;2_12;2;12;24140.94862
22;2_14;2;14;24145.66215
23;2_16;2;16;24148.93533
24;2_18;2;18;24151.302
25;2_20;2;20;24153.05879
26;2_22;2;22;24154.38187
27;2_24;2;24;24155.3822
28;2_25;2;25;24155.78539
29;3_1;3;1;23098.56224
30;3_2;3;2;23635.67553
31;3_4;3;4;24019.53792
32;3_6;3;6;24102.53934
33;3_8;3;8;24125.41374
34;3_10;3;10;24135.10628
35;3_12;3;12;24140.91955
36;3_14;3;14;24145.0183
37;3_16;3;16;24148.08846
38;3_18;3;18;24150.44532
39;3_20;3;20;24152.27552
40;3_22;3;22;24153.70308
41;3_24;3;24;24154.8149
42;3_25;3;25;24155.27281
43;4_1;4;1;23140.05204
44;4_2;4;2;23619.61932
45;4_4;4;4;23999.28376
46;4_6;4;6;24086.74482
47;4_8;4;8;24113.78224
48;4_10;4;10;24126.8559
49;4_12;4;12;24135.12428
50;4_14;4;14;24140.93362
51;4_16;4;16;24145.18772
52;4_18;4;18;24148.36892
53;4_20;4;20;24150.7784
54;4_22;4;22;24152.61675
55;4_24;4;24;24154.0222
56;4_25;4;25;24154.59436
