"","run","power","nn","volume"
"1","0.5_2",0.5,2,9756.36677977353
"2","0.5_4",0.5,4,10464.6235035114
"3","0.5_6",0.5,6,10602.5824265289
"4","0.5_8",0.5,8,10633.7253199706
"5","0.5_10",0.5,10,10642.9688963452
"6","0.5_12",0.5,12,10646.4845318912
"7","0.5_14",0.5,14,10648.1031965151
"8","0.5_15",0.5,15,10648.5910764756
"9","0.5_20",0.5,20,10649.7191820222
"10","0.5_25",0.5,25,10649.9297715072
"11","1_2",1,2,10622.4
"12","1_4",1,4,10622.4
"13","1_6",1,6,10622.4
"14","1_8",1,8,10622.4
"15","1_10",1,10,10622.4
"16","1_12",1,12,10622.4
"17","1_14",1,14,10622.4
"18","1_15",1,15,10622.4
"19","1_20",1,20,10622.4
"20","1_25",1,25,10622.4
"21","2_2",2,2,10456.8042730824
"22","2_4",2,4,10603.1881361693
"23","2_6",2,6,10633.6488121691
"24","2_8",2,8,10643.079478758
"25","2_10",2,10,10646.9250659358
"26","2_12",2,12,10648.7825604445
"27","2_14",2,14,10649.7695275815
"28","2_15",2,15,10650.0828296033
"29","2_20",2,20,10650.7622857354
"30","2_25",2,25,10650.7206370895
"31","3_2",3,2,10150.0067772802
"32","3_4",3,4,10531.4109481882
"33","3_6",3,6,10611.6537829803
"34","3_8",3,8,10633.8047153465
"35","3_10",3,10,10641.889774946
"36","3_12",3,12,10645.5419259927
"37","3_14",3,14,10647.4392919858
"38","3_15",3,15,10648.048144122
"39","3_20",3,20,10649.5332520201
"40","3_25",3,25,10649.8660242911
"41","4_2",4,2,9958.59887496165
"42","4_4",4,4,10495.411774855
"43","4_6",4,6,10606.8989546343
"44","4_8",4,8,10634.4460579769
"45","4_10",4,10,10643.1121296915
"46","4_12",4,12,10646.5173238963
"47","4_14",4,14,10648.1115392334
"48","4_15",4,15,10648.5954110443
"49","4_20",4,20,10649.7193801853
"50","4_25",4,25,10649.9297823831
