"x","y","var1.pred"
-25303.1349522562,6859466.6428,77.2
-25302.1349522562,6859466.6428,77.2
-25304.1349522562,6859465.6428,77.2
-25303.1349522562,6859465.6428,77.2
-25302.1349522562,6859465.6428,77.2
-25301.1349522562,6859465.6428,77.2
-25300.1349522562,6859465.6428,77.2
-25299.1349522562,6859465.6428,77.2
-25304.1349522562,6859464.6428,77.2
-25303.1349522562,6859464.6428,77.2
-25302.1349522562,6859464.6428,77.2
-25301.1349522562,6859464.6428,77.2
-25300.1349522562,6859464.6428,77.2
-25299.1349522562,6859464.6428,77.2
-25298.1349522562,6859464.6428,77.2
-25297.1349522562,6859464.6428,77.2
-25305.1349522562,6859463.6428,77.2
-25304.1349522562,6859463.6428,77.2
-25303.1349522562,6859463.6428,77.2
-25302.1349522562,6859463.6428,77.2
-25301.1349522562,6859463.6428,77.2
-25300.1349522562,6859463.6428,77.2
-25299.1349522562,6859463.6428,77.2
-25298.1349522562,6859463.6428,77.2
-25297.1349522562,6859463.6428,77.2
-25296.1349522562,6859463.6428,77.2
-25295.1349522562,6859463.6428,77.2
-25283.1349522562,6859463.6428,73.4
-25282.1349522562,6859463.6428,73.4
-25281.1349522562,6859463.6428,73.4
-25280.1349522562,6859463.6428,73.4
-25279.1349522562,6859463.6428,73.4
-25278.1349522562,6859463.6428,73.4
-25277.1349522562,6859463.6428,73.4
-25276.1349522562,6859463.6428,73.4
-25275.1349522562,6859463.6428,65.8
-25274.1349522562,6859463.6428,65.8
-25273.1349522562,6859463.6428,65.8
-25305.1349522562,6859462.6428,77.2
-25304.1349522562,6859462.6428,77.2
-25303.1349522562,6859462.6428,77.2
-25302.1349522562,6859462.6428,77.2
-25301.1349522562,6859462.6428,77.2
-25300.1349522562,6859462.6428,77.2
-25299.1349522562,6859462.6428,77.2
-25298.1349522562,6859462.6428,77.2
-25297.1349522562,6859462.6428,77.2
-25296.1349522562,6859462.6428,77.2
-25295.1349522562,6859462.6428,77.2
-25294.1349522562,6859462.6428,73.4
-25293.1349522562,6859462.6428,73.4
-25292.1349522562,6859462.6428,73.4
-25291.1349522562,6859462.6428,73.4
-25290.1349522562,6859462.6428,73.4
-25289.1349522562,6859462.6428,73.4
-25288.1349522562,6859462.6428,73.4
-25287.1349522562,6859462.6428,73.4
-25286.1349522562,6859462.6428,73.4
-25285.1349522562,6859462.6428,73.4
-25284.1349522562,6859462.6428,73.4
-25283.1349522562,6859462.6428,73.4
-25282.1349522562,6859462.6428,73.4
-25281.1349522562,6859462.6428,73.4
-25280.1349522562,6859462.6428,73.4
-25279.1349522562,6859462.6428,73.4
-25278.1349522562,6859462.6428,73.4
-25277.1349522562,6859462.6428,73.4
-25276.1349522562,6859462.6428,73.4
-25275.1349522562,6859462.6428,73.4
-25274.1349522562,6859462.6428,65.8
-25273.1349522562,6859462.6428,65.8
-25272.1349522562,6859462.6428,65.8
-25306.1349522562,6859461.6428,77.2
-25305.1349522562,6859461.6428,77.2
-25304.1349522562,6859461.6428,77.2
-25303.1349522562,6859461.6428,77.2
-25302.1349522562,6859461.6428,77.2
-25301.1349522562,6859461.6428,77.2
-25300.1349522562,6859461.6428,77.2
-25299.1349522562,6859461.6428,77.2
-25298.1349522562,6859461.6428,77.2
-25297.1349522562,6859461.6428,77.2
-25296.1349522562,6859461.6428,77.2
-25295.1349522562,6859461.6428,77.2
-25294.1349522562,6859461.6428,73.4
-25293.1349522562,6859461.6428,73.4
-25292.1349522562,6859461.6428,73.4
-25291.1349522562,6859461.6428,73.4
-25290.1349522562,6859461.6428,73.4
-25289.1349522562,6859461.6428,73.4
-25288.1349522562,6859461.6428,73.4
-25287.1349522562,6859461.6428,73.4
-25286.1349522562,6859461.6428,73.4
-25285.1349522562,6859461.6428,73.4
-25284.1349522562,6859461.6428,73.4
-25283.1349522562,6859461.6428,73.4
-25282.1349522562,6859461.6428,73.4
-25281.1349522562,6859461.6428,73.4
-25280.1349522562,6859461.6428,73.4
-25279.1349522562,6859461.6428,73.4
-25278.1349522562,6859461.6428,73.4
-25277.1349522562,6859461.6428,73.4
-25276.1349522562,6859461.6428,73.4
-25275.1349522562,6859461.6428,73.4
-25274.1349522562,6859461.6428,65.8
-25273.1349522562,6859461.6428,65.8
-25272.1349522562,6859461.6428,65.8
-25271.1349522562,6859461.6428,65.8
-25306.1349522562,6859460.6428,77.2
-25305.1349522562,6859460.6428,77.2
-25304.1349522562,6859460.6428,77.2
-25303.1349522562,6859460.6428,77.2
-25302.1349522562,6859460.6428,77.2
-25301.1349522562,6859460.6428,77.2
-25300.1349522562,6859460.6428,77.2
-25299.1349522562,6859460.6428,77.2
-25298.1349522562,6859460.6428,77.2
-25297.1349522562,6859460.6428,77.2
-25296.1349522562,6859460.6428,77.2
-25295.1349522562,6859460.6428,77.2
-25294.1349522562,6859460.6428,77.2
-25293.1349522562,6859460.6428,73.4
-25292.1349522562,6859460.6428,73.4
-25291.1349522562,6859460.6428,73.4
-25290.1349522562,6859460.6428,73.4
-25289.1349522562,6859460.6428,73.4
-25288.1349522562,6859460.6428,73.4
-25287.1349522562,6859460.6428,73.4
-25286.1349522562,6859460.6428,73.4
-25285.1349522562,6859460.6428,73.4
-25284.1349522562,6859460.6428,73.4
-25283.1349522562,6859460.6428,73.4
-25282.1349522562,6859460.6428,73.4
-25281.1349522562,6859460.6428,73.4
-25280.1349522562,6859460.6428,73.4
-25279.1349522562,6859460.6428,73.4
-25278.1349522562,6859460.6428,73.4
-25277.1349522562,6859460.6428,73.4
-25276.1349522562,6859460.6428,73.4
-25275.1349522562,6859460.6428,73.4
-25274.1349522562,6859460.6428,65.8
-25273.1349522562,6859460.6428,65.8
-25272.1349522562,6859460.6428,65.8
-25271.1349522562,6859460.6428,65.8
-25270.1349522562,6859460.6428,65.8
-25306.1349522562,6859459.6428,77.2
-25305.1349522562,6859459.6428,77.2
-25304.1349522562,6859459.6428,77.2
-25303.1349522562,6859459.6428,77.2
-25302.1349522562,6859459.6428,77.2
-25301.1349522562,6859459.6428,77.2
-25300.1349522562,6859459.6428,77.2
-25299.1349522562,6859459.6428,77.2
-25298.1349522562,6859459.6428,77.2
-25297.1349522562,6859459.6428,77.2
-25296.1349522562,6859459.6428,77.2
-25295.1349522562,6859459.6428,77.2
-25294.1349522562,6859459.6428,77.2
-25293.1349522562,6859459.6428,73.4
-25292.1349522562,6859459.6428,73.4
-25291.1349522562,6859459.6428,73.4
-25290.1349522562,6859459.6428,73.4
-25289.1349522562,6859459.6428,73.4
-25288.1349522562,6859459.6428,73.4
-25287.1349522562,6859459.6428,73.4
-25286.1349522562,6859459.6428,73.4
-25285.1349522562,6859459.6428,73.4
-25284.1349522562,6859459.6428,73.4
-25283.1349522562,6859459.6428,73.4
-25282.1349522562,6859459.6428,73.4
-25281.1349522562,6859459.6428,73.4
-25280.1349522562,6859459.6428,73.4
-25279.1349522562,6859459.6428,73.4
-25278.1349522562,6859459.6428,73.4
-25277.1349522562,6859459.6428,73.4
