Kolonne1;run;power;nn;RMSE;cor;ME;MAE;run2
5;0.5_10;0.5;10;0.47502976;0.481346605;-0.009578656;0.391642455;5
7;0.5_14;0.5;14;0.477419506;0.472945252;-0.014723098;0.395377399;7
6;0.5_12;0.5;12;0.478089752;0.470198211;-0.01310751;0.395929037;6
8;0.5_15;0.5;15;0.478412227;0.469707592;-0.011589935;0.394563611;8
22;1_10;1;10;0.480417741;0.466902104;-0.0125699;0.393365412;22
4;0.5_8;0.5;8;0.482573024;0.465579114;-0.019170737;0.394099942;4
24;1_14;1;14;0.4808146;0.461549523;-0.016434277;0.395771045;24
25;1_15;1;15;0.481015889;0.460266765;-0.014945395;0.395534711;25
23;1_12;1;12;0.481672372;0.460170985;-0.016104451;0.39645773;23
21;1_8;1;8;0.486276942;0.455911576;-0.018093168;0.396636696;21
3;0.5_6;0.5;6;0.48870462;0.448579282;-0.012560345;0.390860204;3
20;1_6;1;6;0.492409365;0.441601988;-0.014531991;0.396348714;20
39;2_10;2;10;0.494143023;0.439229189;-0.015844488;0.404581339;39
40;2_12;2;12;0.494179676;0.43541629;-0.018323514;0.404371234;40
41;2_14;2;14;0.493193759;0.434961721;-0.017752549;0.404457371;41
42;2_15;2;15;0.492763673;0.434898857;-0.017588808;0.403856;42
38;2_8;2;8;0.497729573;0.434421647;-0.018140903;0.407407096;38
26;1_20;1;20;0.48819058;0.433513405;-0.013731271;0.398965502;26
37;2_6;2;6;0.503274115;0.425511993;-0.017345965;0.409212711;37
9;0.5_20;0.5;20;0.490147936;0.425385484;-0.006719051;0.398561666;9
43;2_20;2;20;0.494966323;0.424358397;-0.018967157;0.406139212;43
28;1_30;1;30;0.490741084;0.424004782;-0.01757682;0.400925453;28
29;1_35;1;35;0.491324178;0.422627583;-0.020964901;0.402230085;29
31;1_45;1;45;0.492692467;0.420820256;-0.018315575;0.404970296;31
45;2_30;2;30;0.495102442;0.420482614;-0.020596262;0.405435077;45
30;1_40;1;40;0.492303046;0.420352474;-0.021016331;0.404399802;30
46;2_35;2;35;0.494867043;0.420309506;-0.021369238;0.405492368;46
44;2_25;2;25;0.495677909;0.419954571;-0.019090508;0.406302559;44
47;2_40;2;40;0.494887978;0.419268342;-0.021501936;0.405148305;47
48;2_45;2;45;0.494771703;0.418942428;-0.021511341;0.404998366;48
49;2_50;2;50;0.494883683;0.417987796;-0.021200407;0.404992696;49
27;1_25;1;25;0.492076856;0.417939649;-0.009289161;0.399789737;27
50;2_55;2;55;0.495012674;0.417118776;-0.021115165;0.405034932;50
51;2_60;2;60;0.49522825;0.416080032;-0.021670576;0.405203892;51
32;1_50;1;50;0.494338515;0.41540513;-0.012874029;0.406533168;32
56;3_10;3;10;0.512526628;0.41432671;-0.020352728;0.417231246;56
14;0.5_45;0.5;45;0.499652846;0.413476164;-0.018744195;0.411473827;14
2;0.5_4;0.5;4;0.502931329;0.412497941;-0.011164265;0.408572607;2
57;3_12;3;12;0.512549817;0.411908358;-0.021677858;0.417602332;57
55;3_8;3;8;0.514784235;0.411877526;-0.021570755;0.418908467;55
