"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","0.5_2",1.45579969881235,NA,1.55,0.0942003011876529,NA,1,366188,6721970
"2","0.5_2",1.14208137620993,NA,2.55,1.40791862379007,NA,2,366193,6721967
"3","0.5_2",1.60164540838619,NA,1.1,-0.501645408386193,NA,3,366196,6721945
"4","0.5_2",1.61036053273729,NA,2.15,0.53963946726271,NA,4,366202,6721939
"5","0.5_2",1.52289892369334,NA,2.1,0.577101076306656,NA,5,366208,6721934
"6","0.5_2",0.872346866131292,NA,2.05,1.17765313386871,NA,6,366212,6721968
"7","0.5_2",0.907499397546324,NA,1.9,0.992500602453676,NA,7,366228,6721912
"8","0.5_2",1.24268308824957,NA,1.8,0.557316911750432,NA,8,366220,6721896
"9","0.5_2",1.0277345315809,NA,1.2,0.172265468419102,NA,9,366241,6721890
"10","0.5_2",1.51949789859475,NA,0.75,-0.769497898594755,NA,10,366230,6721897
"11","0.5_2",1.75309357387106,NA,1.3,-0.45309357387106,NA,11,366252,6721884
"12","0.5_2",1.2777026502396,NA,2.3,1.0222973497604,NA,12,366252,6721875
"13","0.5_2",1.82137682584942,NA,1.9,0.0786231741505756,NA,13,366265,6721865
"14","0.5_2",1.4626824816875,NA,1.75,0.287317518312503,NA,14,366271,6721859
"15","0.5_2",1.82129415023515,NA,0.95,-0.871294150235149,NA,15,366281,6721865
"16","0.5_2",0.383654025235949,NA,0.65,0.266345974764051,NA,16,366282,6721849
"17","0.5_2",0.347342211773178,NA,0.7,0.352657788226822,NA,17,366289,6721842
"18","0.5_2",0.675689786870073,NA,0,-0.675689786870073,NA,18,366296,6721853
"19","0.5_2",0.598993061770012,NA,0.6,0.00100693822998832,NA,19,366305,6721821
"20","0.5_2",0.679836304748379,NA,0.45,-0.229836304748379,NA,20,366322,6721822
"21","0.5_2",0.525419394633238,NA,0.75,0.224580605366762,NA,21,366314,6721806
"22","0.5_2",0.572443000631915,NA,0.75,0.177556999368085,NA,22,366335,6721824
"23","0.5_2",1.57038451283408,NA,1.9,0.32961548716592,NA,23,366270,6721874
"24","0.5_2",1.31723047352986,NA,1.2,-0.117230473529855,NA,24,366265,6721886
"25","0.5_2",1.24719342133554,NA,1.25,0.00280657866446155,NA,25,366259,6721887
"26","0.5_2",0.975,NA,0.85,-0.125,NA,26,366253,6721897
"27","0.5_2",1.09714726694566,NA,0.7,-0.397147266945659,NA,27,366247,6721907
"28","0.5_2",0.596580563614807,NA,1.35,0.753419436385193,NA,28,366240,6721917
"29","0.5_2",0.96418246106254,NA,0.65,-0.31418246106254,NA,29,366240,6721925
"30","0.5_2",1.6021675883631,NA,0.55,-1.0521675883631,NA,30,366234,6721918
"31","0.5_2",1.35648445244464,NA,0.65,-0.706484452444636,NA,31,366223,6721932
"32","0.5_2",0.973910444188302,NA,0.9,-0.0739104441883023,NA,32,366208,6721952
"33","0.5_2",2.30792798208733,NA,0.85,-1.45792798208733,NA,33,366202,6721964
"34","0.5_2",1.92906463651731,NA,0.65,-1.27906463651731,NA,34,366187,6721973
"35","0.5_2",1.13952971649621,NA,1.4,0.260470283503793,NA,35,366272,6721892
"36","0.5_2",1.10102745751479,NA,0.95,-0.151027457514785,NA,36,366266,6721898
"37","0.5_2",1.21890629736945,NA,0.75,-0.468906297369448,NA,37,366268,6721907
"38","0.5_2",1.07359954945124,NA,1.3,0.226400450548762,NA,38,366278,6721891
"39","0.5_2",0.842632212597625,NA,0.8,-0.0426322125976245,NA,39,366273,6721903
"40","0.5_2",0.769718115127779,NA,1.55,0.780281884872221,NA,40,366268,6721911
"41","0.5_2",1.17749810679776,NA,0.7,-0.477498106797757,NA,41,366261,6721918
"42","0.5_2",0.700325901850042,NA,1.35,0.649674098149958,NA,42,366284,6721915
"43","0.5_2",0.573940977762879,NA,0.95,0.376059022237121,NA,43,366300,6721902
"44","0.5_2",1.12348128955009,NA,0.6,-0.523481289550086,NA,44,366288,6721899
"45","0.5_2",0.795075180026793,NA,0.55,-0.245075180026793,NA,45,366303,6721892
"46","0.5_2",0.405741634528318,NA,0.45,0.0442583654716819,NA,46,366381,6721788
"47","0.5_2",0.924594792291694,NA,0.5,-0.424594792291694,NA,47,366383,6721775
"48","0.5_2",0.52512256374665,NA,0.9,0.37487743625335,NA,48,366394,6721772
"49","0.5_2",0.765518506172075,NA,0.55,-0.215518506172075,NA,49,366392,6721761
"50","0.5_2",0.649846623962871,NA,0.6,-0.0498466239628709,NA,50,366392,6721752
"51","0.5_2",0.6,NA,0.75,0.15,NA,51,366383,6721751
"52","0.5_2",0.525527729520492,NA,0.95,0.424472270479508,NA,52,366381,6721763
"53","0.5_2",0.598805466359447,NA,0.55,-0.0488054663594469,NA,53,366369,6721771
"54","0.5_2",0.505735765721941,NA,0.3,-0.205735765721941,NA,54,366366,6721781
"55","0.5_2",0.675535851011706,NA,0.3,-0.375535851011706,NA,55,366371,6721754
"56","0.5_2",1.0183353517155,NA,0.6,-0.418335351715496,NA,56,366380,6721745
"57","0.5_2",1.15174503360844,NA,0.65,-0.501745033608438,NA,57,366385,6721737
"58","0.5_2",0.986214172086389,NA,0.95,-0.0362141720863891,NA,58,366393,6721729
"59","0.5_2",1.11470269564519,NA,0.5,-0.614702695645194,NA,59,366400,6721722
"60","0.5_2",0.87445704038563,NA,1.05,0.17554295961437,NA,60,366393,6721707
"61","0.5_2",0.83214688840112,NA,1.3,0.46785311159888,NA,61,366389,6721728
"62","0.5_2",0.856971428110722,NA,1.25,0.393028571889278,NA,62,366384,6721742
"63","0.5_2",0.865961000118269,NA,1.1,0.234038999881731,NA,63,366386,6721738
"64","0.5_2",0.912374462823715,NA,0.7,-0.212374462823715,NA,64,366374,6721738
"65","0.5_4",1.43203136469952,NA,1.55,0.117968635300476,NA,1,366188,6721970
"66","0.5_4",1.22849456519724,NA,2.55,1.32150543480276,NA,2,366193,6721967
"67","0.5_4",1.56022965139639,NA,1.1,-0.460229651396386,NA,3,366196,6721945
"68","0.5_4",1.27770126489524,NA,2.15,0.872298735104756,NA,4,366202,6721939
"69","0.5_4",1.29381544098163,NA,2.1,0.806184559018372,NA,5,366208,6721934
"70","0.5_4",1.40355861613739,NA,2.05,0.646441383862612,NA,6,366212,6721968
"71","0.5_4",0.816319592324261,NA,1.9,1.08368040767574,NA,7,366228,6721912
"72","0.5_4",1.09213519581137,NA,1.8,0.707864804188627,NA,8,366220,6721896
"73","0.5_4",0.910290696229267,NA,1.2,0.289709303770733,NA,9,366241,6721890
"74","0.5_4",1.43880520099876,NA,0.75,-0.68880520099876,NA,10,366230,6721897
"75","0.5_4",1.42934097004359,NA,1.3,-0.129340970043594,NA,11,366252,6721884
"76","0.5_4",1.40130074146759,NA,2.3,0.898699258532409,NA,12,366252,6721875
"77","0.5_4",1.73485592559781,NA,1.9,0.165144074402191,NA,13,366265,6721865
"78","0.5_4",1.37772728341739,NA,1.75,0.372272716582613,NA,14,366271,6721859
"79","0.5_4",1.56335182347928,NA,0.95,-0.613351823479284,NA,15,366281,6721865
"80","0.5_4",0.838949527301414,NA,0.65,-0.188949527301414,NA,16,366282,6721849
"81","0.5_4",0.752015086303135,NA,0.7,-0.0520150863031352,NA,17,366289,6721842
"82","0.5_4",0.960285671541201,NA,0,-0.960285671541201,NA,18,366296,6721853
"83","0.5_4",0.653947213868646,NA,0.6,-0.0539472138686456,NA,19,366305,6721821
"84","0.5_4",0.701502807408505,NA,0.45,-0.251502807408505,NA,20,366322,6721822
"85","0.5_4",0.609992767919472,NA,0.75,0.140007232080528,NA,21,366314,6721806
"86","0.5_4",0.475032933638395,NA,0.75,0.274967066361605,NA,22,366335,6721824
"87","0.5_4",1.46407500034179,NA,1.9,0.435924999658212,NA,23,366270,6721874
"88","0.5_4",1.3601458904988,NA,1.2,-0.160145890498802,NA,24,366265,6721886
"89","0.5_4",1.09870659979802,NA,1.25,0.151293400201975,NA,25,366259,6721887
"90","0.5_4",1.04790857156678,NA,0.85,-0.197908571566784,NA,26,366253,6721897
"91","0.5_4",0.882941500645497,NA,0.7,-0.182941500645498,NA,27,366247,6721907
"92","0.5_4",0.89229221912406,NA,1.35,0.45770778087594,NA,28,366240,6721917
"93","0.5_4",1.0934982822009,NA,0.65,-0.443498282200898,NA,29,366240,6721925
"94","0.5_4",1.19911007295793,NA,0.55,-0.649110072957926,NA,30,366234,6721918
"95","0.5_4",1.3089261876738,NA,0.65,-0.658926187673797,NA,31,366223,6721932
"96","0.5_4",1.52133177108522,NA,0.9,-0.621331771085223,NA,32,366208,6721952
"97","0.5_4",1.80855341340953,NA,0.85,-0.958553413409528,NA,33,366202,6721964
"98","0.5_4",1.7547638816106,NA,0.65,-1.1047638816106,NA,34,366187,6721973
"99","0.5_4",1.07988720617072,NA,1.4,0.320112793829278,NA,35,366272,6721892
"100","0.5_4",1.03412886418326,NA,0.95,-0.0841288641832583,NA,36,366266,6721898
"101","0.5_4",1.06421234369302,NA,0.75,-0.314212343693022,NA,37,366268,6721907
"102","0.5_4",0.984985319092353,NA,1.3,0.315014680907647,NA,38,366278,6721891
"103","0.5_4",1.13472619806105,NA,0.8,-0.334726198061045,NA,39,366273,6721903
"104","0.5_4",0.789132153330314,NA,1.55,0.760867846669686,NA,40,366268,6721911
"105","0.5_4",0.989471281918309,NA,0.7,-0.289471281918309,NA,41,366261,6721918
"106","0.5_4",0.926550467928325,NA,1.35,0.423449532071675,NA,42,366284,6721915
"107","0.5_4",0.886356211360364,NA,0.95,0.0636437886396357,NA,43,366300,6721902
"108","0.5_4",1.09873782784244,NA,0.6,-0.498737827842441,NA,44,366288,6721899
"109","0.5_4",1.01094103213913,NA,0.55,-0.460941032139127,NA,45,366303,6721892
"110","0.5_4",0.55192644866354,NA,0.45,-0.10192644866354,NA,46,366381,6721788
"111","0.5_4",0.720222823758779,NA,0.5,-0.220222823758779,NA,47,366383,6721775
"112","0.5_4",0.640618188691595,NA,0.9,0.259381811308405,NA,48,366394,6721772
"113","0.5_4",0.795406605867033,NA,0.55,-0.245406605867033,NA,49,366392,6721761
"114","0.5_4",0.777039685698399,NA,0.6,-0.177039685698399,NA,50,366392,6721752
"115","0.5_4",0.836536057949337,NA,0.75,-0.0865360579493367,NA,51,366383,6721751
"116","0.5_4",0.528034594616776,NA,0.95,0.421965405383224,NA,52,366381,6721763
"117","0.5_4",0.507668568191927,NA,0.55,0.0423314318080733,NA,53,366369,6721771
"118","0.5_4",0.596401897489358,NA,0.3,-0.296401897489358,NA,54,366366,6721781
"119","0.5_4",0.750082510286351,NA,0.3,-0.450082510286351,NA,55,366371,6721754
"120","0.5_4",0.966092939469261,NA,0.6,-0.366092939469261,NA,56,366380,6721745
"121","0.5_4",1.08307463823651,NA,0.65,-0.433074638236513,NA,57,366385,6721737
"122","0.5_4",0.939012982965893,NA,0.95,0.0109870170341073,NA,58,366393,6721729
"123","0.5_4",1.00485102882669,NA,0.5,-0.504851028826691,NA,59,366400,6721722
"124","0.5_4",0.846171789795845,NA,1.05,0.203828210204155,NA,60,366393,6721707
"125","0.5_4",0.824353028747379,NA,1.3,0.475646971252621,NA,61,366389,6721728
"126","0.5_4",0.781935020089036,NA,1.25,0.468064979910964,NA,62,366384,6721742
"127","0.5_4",0.889897330780505,NA,1.1,0.210102669219495,NA,63,366386,6721738
"128","0.5_4",0.89212020717481,NA,0.7,-0.19212020717481,NA,64,366374,6721738
"129","0.5_6",1.34029145429993,NA,1.55,0.209708545700069,NA,1,366188,6721970
"130","0.5_6",1.17185501746082,NA,2.55,1.37814498253918,NA,2,366193,6721967
"131","0.5_6",1.6997811381942,NA,1.1,-0.599781138194198,NA,3,366196,6721945
"132","0.5_6",1.37311208330098,NA,2.15,0.776887916699022,NA,4,366202,6721939
"133","0.5_6",1.27778514595287,NA,2.1,0.822214854047128,NA,5,366208,6721934
"134","0.5_6",1.25286716406486,NA,2.05,0.797132835935136,NA,6,366212,6721968
"135","0.5_6",0.947118090372521,NA,1.9,0.952881909627479,NA,7,366228,6721912
"136","0.5_6",1.07356981456712,NA,1.8,0.726430185432881,NA,8,366220,6721896
"137","0.5_6",1.1730040207293,NA,1.2,0.0269959792707015,NA,9,366241,6721890
"138","0.5_6",1.29835235874654,NA,0.75,-0.548352358746537,NA,10,366230,6721897
"139","0.5_6",1.33195991711753,NA,1.3,-0.0319599171175322,NA,11,366252,6721884
"140","0.5_6",1.44672311661467,NA,2.3,0.85327688338533,NA,12,366252,6721875
"141","0.5_6",1.59667987515755,NA,1.9,0.303320124842453,NA,13,366265,6721865
"142","0.5_6",1.40913895548147,NA,1.75,0.340861044518528,NA,14,366271,6721859
"143","0.5_6",1.20621448162357,NA,0.95,-0.256214481623573,NA,15,366281,6721865
"144","0.5_6",1.12234611168221,NA,0.65,-0.472346111682206,NA,16,366282,6721849
"145","0.5_6",0.876077654556531,NA,0.7,-0.176077654556531,NA,17,366289,6721842
"146","0.5_6",1.0369271583228,NA,0,-1.0369271583228,NA,18,366296,6721853
"147","0.5_6",0.558701370384727,NA,0.6,0.0412986296152725,NA,19,366305,6721821
"148","0.5_6",0.604761620527716,NA,0.45,-0.154761620527716,NA,20,366322,6721822
"149","0.5_6",0.536410390358348,NA,0.75,0.213589609641652,NA,21,366314,6721806
"150","0.5_6",0.482472644581133,NA,0.75,0.267527355418867,NA,22,366335,6721824
"151","0.5_6",1.55526995609868,NA,1.9,0.344730043901319,NA,23,366270,6721874
"152","0.5_6",1.34241271195093,NA,1.2,-0.142412711950932,NA,24,366265,6721886
"153","0.5_6",1.31378964957683,NA,1.25,-0.0637896495768262,NA,25,366259,6721887
"154","0.5_6",1.09532156171766,NA,0.85,-0.245321561717656,NA,26,366253,6721897
"155","0.5_6",0.897183607729394,NA,0.7,-0.197183607729394,NA,27,366247,6721907
"156","0.5_6",0.851183438823247,NA,1.35,0.498816561176754,NA,28,366240,6721917
"157","0.5_6",0.984852993775149,NA,0.65,-0.334852993775149,NA,29,366240,6721925
"158","0.5_6",1.0709768150228,NA,0.55,-0.520976815022802,NA,30,366234,6721918
"159","0.5_6",1.44570023630633,NA,0.65,-0.795700236306332,NA,31,366223,6721932
"160","0.5_6",1.76041570397259,NA,0.9,-0.860415703972586,NA,32,366208,6721952
"161","0.5_6",1.53986702398685,NA,0.85,-0.689867023986845,NA,33,366202,6721964
"162","0.5_6",1.59249873529796,NA,0.65,-0.942498735297961,NA,34,366187,6721973
"163","0.5_6",1.05981874590502,NA,1.4,0.340181254094984,NA,35,366272,6721892
"164","0.5_6",1.03886616411318,NA,0.95,-0.0888661641131827,NA,36,366266,6721898
"165","0.5_6",1.14092742225171,NA,0.75,-0.390927422251705,NA,37,366268,6721907
"166","0.5_6",1.14038152060373,NA,1.3,0.159618479396271,NA,38,366278,6721891
"167","0.5_6",1.0872671141915,NA,0.8,-0.287267114191498,NA,39,366273,6721903
"168","0.5_6",0.935375621281739,NA,1.55,0.614624378718261,NA,40,366268,6721911
"169","0.5_6",1.03614933497424,NA,0.7,-0.336149334974244,NA,41,366261,6721918
"170","0.5_6",0.896738209541953,NA,1.35,0.453261790458047,NA,42,366284,6721915
"171","0.5_6",0.942114295390739,NA,0.95,0.00788570460926141,NA,43,366300,6721902
"172","0.5_6",1.05820272724211,NA,0.6,-0.45820272724211,NA,44,366288,6721899
"173","0.5_6",1.0360880827785,NA,0.55,-0.486088082778504,NA,45,366303,6721892
"174","0.5_6",0.610802366972151,NA,0.45,-0.160802366972151,NA,46,366381,6721788
"175","0.5_6",0.632358988874351,NA,0.5,-0.132358988874351,NA,47,366383,6721775
"176","0.5_6",0.627566614114239,NA,0.9,0.272433385885761,NA,48,366394,6721772
"177","0.5_6",0.726000741575051,NA,0.55,-0.176000741575051,NA,49,366392,6721761
"178","0.5_6",0.850512210567854,NA,0.6,-0.250512210567854,NA,50,366392,6721752
"179","0.5_6",0.79410750665328,NA,0.75,-0.04410750665328,NA,51,366383,6721751
"180","0.5_6",0.5424933307946,NA,0.95,0.4075066692054,NA,52,366381,6721763
"181","0.5_6",0.531966797594896,NA,0.55,0.0180332024051041,NA,53,366369,6721771
"182","0.5_6",0.595977758346209,NA,0.3,-0.295977758346209,NA,54,366366,6721781
"183","0.5_6",0.795138409615473,NA,0.3,-0.495138409615473,NA,55,366371,6721754
"184","0.5_6",0.828039694609326,NA,0.6,-0.228039694609326,NA,56,366380,6721745
"185","0.5_6",1.02178508818622,NA,0.65,-0.371785088186221,NA,57,366385,6721737
"186","0.5_6",0.940902485306033,NA,0.95,0.00909751469396736,NA,58,366393,6721729
"187","0.5_6",1.05159604555831,NA,0.5,-0.551596045558309,NA,59,366400,6721722
"188","0.5_6",0.939792054052229,NA,1.05,0.110207945947771,NA,60,366393,6721707
"189","0.5_6",0.867086419177252,NA,1.3,0.432913580822748,NA,61,366389,6721728
"190","0.5_6",0.748677824524012,NA,1.25,0.501322175475988,NA,62,366384,6721742
"191","0.5_6",0.875308063254949,NA,1.1,0.224691936745051,NA,63,366386,6721738
"192","0.5_6",0.786198450834056,NA,0.7,-0.0861984508340561,NA,64,366374,6721738
"193","0.5_8",1.45983171699908,NA,1.55,0.0901682830009154,NA,1,366188,6721970
"194","0.5_8",1.33182390076392,NA,2.55,1.21817609923608,NA,2,366193,6721967
"195","0.5_8",1.63143557553165,NA,1.1,-0.531435575531646,NA,3,366196,6721945
"196","0.5_8",1.45279615950423,NA,2.15,0.697203840495769,NA,4,366202,6721939
"197","0.5_8",1.17529737343856,NA,2.1,0.924702626561441,NA,5,366208,6721934
"198","0.5_8",1.43096814377992,NA,2.05,0.619031856220084,NA,6,366212,6721968
"199","0.5_8",0.939394447761984,NA,1.9,0.960605552238016,NA,7,366228,6721912
"200","0.5_8",1.07346416178099,NA,1.8,0.726535838219013,NA,8,366220,6721896
"201","0.5_8",1.244762497457,NA,1.2,-0.0447624974570024,NA,9,366241,6721890
"202","0.5_8",1.24954348324473,NA,0.75,-0.499543483244727,NA,10,366230,6721897
"203","0.5_8",1.39577196303789,NA,1.3,-0.0957719630378915,NA,11,366252,6721884
"204","0.5_8",1.4130997604154,NA,2.3,0.886900239584597,NA,12,366252,6721875
"205","0.5_8",1.46746723626159,NA,1.9,0.43253276373841,NA,13,366265,6721865
"206","0.5_8",1.24558875891491,NA,1.75,0.504411241085091,NA,14,366271,6721859
"207","0.5_8",1.21532839816829,NA,0.95,-0.265328398168287,NA,15,366281,6721865
"208","0.5_8",1.17764680686765,NA,0.65,-0.527646806867647,NA,16,366282,6721849
"209","0.5_8",0.934760030128955,NA,0.7,-0.234760030128955,NA,17,366289,6721842
"210","0.5_8",1.08070731110102,NA,0,-1.08070731110102,NA,18,366296,6721853
"211","0.5_8",0.708869827786482,NA,0.6,-0.108869827786482,NA,19,366305,6721821
"212","0.5_8",0.608483641403306,NA,0.45,-0.158483641403306,NA,20,366322,6721822
"213","0.5_8",0.514599046056778,NA,0.75,0.235400953943222,NA,21,366314,6721806
"214","0.5_8",0.495707194772145,NA,0.75,0.254292805227855,NA,22,366335,6721824
"215","0.5_8",1.50887350585402,NA,1.9,0.391126494145982,NA,23,366270,6721874
"216","0.5_8",1.38954016650651,NA,1.2,-0.189540166506511,NA,24,366265,6721886
"217","0.5_8",1.36289782906255,NA,1.25,-0.11289782906255,NA,25,366259,6721887
