"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"4289","4_64",0.801915242538305,NA,1.55,0.748084757461695,NA,1,366188,6721970
"4290","4_64",1.332983607242,NA,2.55,1.217016392758,NA,2,366193,6721967
"4291","4_64",1.96135279316807,NA,1.1,-0.861352793168072,NA,3,366196,6721945
"4292","4_64",1.63093826163669,NA,2.15,0.519061738363313,NA,4,366202,6721939
"4293","4_64",1.95340588994067,NA,2.1,0.146594110059325,NA,5,366208,6721934
"4294","4_64",1.02146784470855,NA,2.05,1.02853215529145,NA,6,366212,6721968
"4295","4_64",0.738320477070274,NA,1.9,1.16167952292973,NA,7,366228,6721912
"4296","4_64",0.884053054996641,NA,1.8,0.915946945003359,NA,8,366220,6721896
"4297","4_64",1.11535916216952,NA,1.2,0.0846408378304833,NA,9,366241,6721890
"4298","4_64",1.56050162034855,NA,0.75,-0.810501620348552,NA,10,366230,6721897
"4299","4_64",1.48883618051155,NA,1.3,-0.188836180511547,NA,11,366252,6721884
"4300","4_64",1.3261908477579,NA,2.3,0.973809152242105,NA,12,366252,6721875
"4301","4_64",1.72310655389108,NA,1.9,0.176893446108924,NA,13,366265,6721865
"4302","4_64",1.60264127419147,NA,1.75,0.147358725808528,NA,14,366271,6721859
"4303","4_64",1.49547232560754,NA,0.95,-0.54547232560754,NA,15,366281,6721865
"4304","4_64",0.801768560691239,NA,0.65,-0.151768560691239,NA,16,366282,6721849
"4305","4_64",0.541617783313257,NA,0.7,0.158382216686743,NA,17,366289,6721842
"4306","4_64",0.782932134286949,NA,0,-0.782932134286949,NA,18,366296,6721853
"4307","4_64",0.613320798885596,NA,0.6,-0.0133207988855965,NA,19,366305,6721821
"4308","4_64",0.716636427307817,NA,0.45,-0.266636427307817,NA,20,366322,6721822
"4309","4_64",0.556034951119249,NA,0.75,0.193965048880751,NA,21,366314,6721806
"4310","4_64",0.476787159109389,NA,0.75,0.273212840890611,NA,22,366335,6721824
"4311","4_64",1.53256564266733,NA,1.9,0.367434357332667,NA,23,366270,6721874
"4312","4_64",1.28077791800665,NA,1.2,-0.0807779180066506,NA,24,366265,6721886
"4313","4_64",1.23438430861753,NA,1.25,0.0156156913824712,NA,25,366259,6721887
"4314","4_64",1.09044135029695,NA,0.85,-0.240441350296954,NA,26,366253,6721897
"4315","4_64",1.05269020576452,NA,0.7,-0.352690205764523,NA,27,366247,6721907
