"","run","power","nn","volume"
"1","0.5_2",0.5,2,9005.83871423476
"2","0.5_4",0.5,4,8879.50378858964
"3","0.5_6",0.5,6,8847.97287933991
"4","0.5_8",0.5,8,8837.20295307753
"5","0.5_10",0.5,10,8831.63128953258
"6","0.5_12",0.5,12,8827.9783924294
"7","0.5_14",0.5,14,8825.30660669845
"8","0.5_15",0.5,15,8824.21892548195
"9","0.5_20",0.5,20,8820.43207858653
"10","0.5_25",0.5,25,8818.42560639404
"11","0.5_30",0.5,30,8817.42448563346
"12","0.5_35",0.5,35,8816.98748590864
"13","0.5_40",0.5,40,8816.85952109141
"14","0.5_45",0.5,45,8816.89581022564
"15","0.5_50",0.5,50,8817.01563707754
"16","0.5_55",0.5,55,8817.17480347624
"17","0.5_60",0.5,60,8817.34965518059
"18","1_2",1,2,8823.05
"19","1_4",1,4,8823.05
"20","1_6",1,6,8823.05
"21","1_8",1,8,8823.05
"22","1_10",1,10,8823.05
"23","1_12",1,12,8823.05
"24","1_14",1,14,8823.05
"25","1_15",1,15,8823.05
"26","1_20",1,20,8823.05
"27","1_25",1,25,8823.05
"28","1_30",1,30,8823.05
"29","1_35",1,35,8823.05
"30","1_40",1,40,8823.05
"31","1_45",1,45,8823.05
"32","1_50",1,50,8823.05
"33","1_55",1,55,8823.05
"34","1_60",1,60,8823.05
"35","2_2",2,2,8885.81580686219
"36","2_4",2,4,8853.9884937323
"37","2_6",2,6,8843.94982065175
"38","2_8",2,8,8838.56908152694
"39","2_10",2,10,8834.45819934642
"40","2_12",2,12,8830.98144297018
"41","2_14",2,14,8828.03222334875
"42","2_15",2,15,8826.74443838305
"43","2_20",2,20,8821.94338216434
"44","2_25",2,25,8819.21537685412
"45","2_30",2,30,8817.76268582264
"46","2_35",2,35,8817.04436396555
"47","2_40",2,40,8816.73680750432
"48","2_45",2,45,8816.65549330034
"49","2_50",2,50,8816.6972326808
"50","2_55",2,55,8816.80478546309
"51","2_60",2,60,8816.94651827873
"52","3_2",3,2,8940.86356599757
"53","3_4",3,4,8884.23764708876
"54","3_6",3,6,8858.39054373958
"55","3_8",3,8,8844.80662303944
"56","3_10",3,10,8836.60860477156
"57","3_12",3,12,8831.17723265706
"58","3_14",3,14,8827.36681222302
"59","3_15",3,15,8825.87721433981
"60","3_20",3,20,8821.01128397916
"61","3_25",3,25,8818.62792014013
"62","3_30",3,30,8817.47855920317
"63","3_35",3,35,8816.97786109305
"64","3_40",3,40,8816.82225538385
"65","3_45",3,45,8816.84797616642
"66","3_50",3,50,8816.96570012977
"67","3_55",3,55,8817.12691996794
"68","3_60",3,60,8817.30571800214
"69","4_2",4,2,8929.46698456092
"70","4_4",4,4,8875.73737689189
"71","4_6",4,6,8852.27684906503
"72","4_8",4,8,8840.39722539969
"73","4_10",4,10,8833.48169121499
"74","4_12",4,12,8829.00236187032
"75","4_14",4,14,8825.87311709293
"76","4_15",4,15,8824.64252668422
"77","4_20",4,20,8820.54003601707
"78","4_25",4,25,8818.45839106948
"79","4_30",4,30,8817.43639990824
"80","4_35",4,35,8816.99252122222
"81","4_40",4,40,8816.86190077189
"82","4_45",4,45,8816.89702836604
"83","4_50",4,50,8817.01629873539
"84","4_55",4,55,8817.17518002817
"85","4_60",4,60,8817.34987774904
