"","run","power","nn","volume"
"1","1_1",1,1,8823.05
"2","1_2",1,2,8930.35937669214
"3","1_4",1,4,8976.04403612881
"4","1_6",1,6,8988.7936297236
"5","1_8",1,8,9068.08671532675
"6","1_10",1,10,9098.96128453754
"7","1_12",1,12,9098.49149748031
"8","1_14",1,14,9119.85777395578
"9","1_16",1,16,9118.2055312671
"10","1_18",1,18,9088.15782989317
"11","1_20",1,20,9077.70995081168
"12","1_22",1,22,9077.27799170956
"13","1_24",1,24,9067.38933244371
"14","1_26",1,26,9053.79819279717
"15","1_28",1,28,9077.76757779268
"16","1_30",1,30,9099.69339254645
"17","1_64",1,64,9055.92314611766
"18","2_1",2,1,8823.05
"19","2_2",2,2,8885.81580686219
"20","2_4",2,4,8929.46698456092
"21","2_6",2,6,8937.16756549545
"22","2_8",2,8,8971.11789919173
"23","2_10",2,10,8983.24194452527
"24","2_12",2,12,8984.35823758802
"25","2_14",2,14,8991.91808259529
"26","2_16",2,16,8993.22596375615
"27","2_18",2,18,8990.17443540562
"28","2_20",2,20,8990.38892911708
"29","2_22",2,22,8993.04322939285
"30","2_24",2,24,8993.81373523851
"31","2_26",2,26,8994.24503707664
"32","2_28",2,28,8998.49079290194
"33","2_30",2,30,9002.23988429076
"34","2_64",2,64,9005.83871423476
"35","3_1",3,1,8823.05
"36","3_2",3,2,8864.71769532983
"37","3_4",3,4,8896.83655821061
"38","3_6",3,6,8897.52733995401
"39","3_8",3,8,8909.92896892177
"40","3_10",3,10,8913.6092140812
"41","3_12",3,12,8913.28066975957
"42","3_14",3,14,8915.33882666945
"43","3_16",3,16,8915.86688913014
"44","3_18",3,18,8916.38573781884
"45","3_20",3,20,8917.05215779994
"46","3_22",3,22,8918.01442833101
"47","3_24",3,24,8918.80780808109
"48","3_26",3,26,8919.42002526845
"49","3_28",3,28,8920.20677815541
"50","3_30",3,30,8920.8444733807
"51","3_64",3,64,8922.53456276731
"52","4_1",4,1,8823.05
"53","4_2",4,2,8853.9884937323
"54","4_4",4,4,8875.73737689189
"55","4_6",4,6,8872.98850964924
"56","4_8",4,8,8876.66511394784
"57","4_10",4,10,8877.36241276441
"58","4_12",4,12,8876.82152190715
"59","4_14",4,14,8877.33600201491
"60","4_16",4,16,8877.48733521866
"61","4_18",4,18,8877.92809420407
"62","4_20",4,20,8878.21599018592
"63","4_22",4,22,8878.47158083564
"64","4_24",4,24,8878.73432255176
"65","4_26",4,26,8878.93587740766
"66","4_28",4,28,8879.07514090189
"67","4_30",4,30,8879.18521483922
"68","4_64",4,64,8879.50378858964
