Kolonne1;run;power;nn;RMSE;cor;ME;MAE;run2;;Verdier;
2;0.5_4;0.5;4;0.709014865;0.728538201;-0.01169437;0.554246478;2;;Min av RMSE;0.709014865
25;1_4;1;4;0.715975867;0.720962621;-0.004546086;0.555641121;25;;Maks av RMSE;1.012721769
71;2_4;2;4;0.741988937;0.697172249;0.003615285;0.565653725;71;;Min av cor2;0.340430605
117;3_4;3;4;0.761517441;0.681039582;0.008826345;0.573145172;117;;Maks av cor;0.728538201
119;3_8;3;8;0.752704019;0.685533272;-0.002084646;0.573483486;119;;Min av MAE;0.554246478
118;3_6;3;6;0.759507662;0.679588611;0.007573451;0.574867538;118;;Maks av MAE;0.854062609
72;2_6;2;6;0.743070514;0.694660839;-0.002369773;0.57507048;72;;;
26;1_6;1;6;0.732097032;0.709570586;-0.01997949;0.576003441;26;;;
165;4_8;4;8;0.764135261;0.676721359;0.008009572;0.576035602;165;;;
73;2_8;2;8;0.733572678;0.705182784;-0.017615906;0.577780328;73;;;
163;4_4;4;4;0.772339253;0.673081087;0.012994228;0.5780168;163;;;
3;0.5_6;0.5;6;0.738927995;0.706109477;-0.032849882;0.578645929;3;;;
164;4_6;4;6;0.769474445;0.672505199;0.013960036;0.578673138;164;;;
27;1_8;1;8;0.722128426;0.726492557;-0.044338322;0.579567923;27;;;
166;4_10;4;10;0.767761674;0.672348835;0.011841989;0.580000586;166;;;
120;3_10;3;10;0.759817723;0.67776836;0.001807171;0.580647035;120;;;
;4_12;4;12;0.768928469;0.670644465;0.011862652;0.58105774;9;;;
167;4_15;4;15;0.772116971;0.666939848;0.012740718;0.583600481;167;;;
;3_12;3;12;0.762477688;0.674737456;0.000191825;0.583819711;7;;;
;4_14;4;14;0.77237368;0.666824804;0.012626565;0.584469564;10;;;
168;4_20;4;20;0.773745835;0.664757897;0.013257092;0.585450476;168;;;
169;4_25;4;25;0.775053588;0.663114807;0.014506203;0.586316125;169;;;
170;4_30;4;30;0.775968709;0.661977624;0.014857246;0.587157537;170;;;
171;4_35;4;35;0.776580981;0.661209537;0.015576034;0.587855176;171;;;
172;4_40;4;40;0.777017251;0.660662407;0.016353267;0.588346004;172;;;
173;4_45;4;45;0.77733112;0.660274415;0.01676317;0.588616676;173;;;
4;0.5_8;0.5;8;0.732987564;0.722421909;-0.063194553;0.58880075;4;;;
174;4_50;4;50;0.777629076;0.659923648;0.017200346;0.588881274;174;;;
74;2_10;2;10;0.748111376;0.691785829;-0.015767062;0.588985266;74;;;
175;4_55;4;55;0.77773839;0.65977861;0.017472736;0.58899539;175;;;
176;4_60;4;60;0.777874749;0.659612976;0.01779719;0.589130521;176;;;
177;4_65;4;65;0.777979065;0.65948557;0.01802441;0.589220152;177;;;
178;4_70;4;70;0.777990258;0.659460848;0.018209331;0.589232876;178;;;
180;4_80;4;80;0.778033699;0.659397047;0.018564883;0.589236106;180;;;
181;4_85;4;85;0.778065303;0.659358556;0.018713252;0.589260954;181;;;
179;4_75;4;75;0.778021154;0.659417961;0.018391896;0.589261014;179;;;
182;4_90;4;90;0.778084655;0.659333319;0.018860057;0.589266524;182;;;
183;4_95;4;95;0.778114431;0.659298304;0.018994502;0.589280956;183;;;
184;4_100;4;100;0.778137579;0.65927132;0.019121095;0.589296388;184;;;
121;3_15;3;15;0.769318342;0.667338176;0.000109203;0.590136964;121;;;
;3_14;3;14;0.769596274;0.667083627;0.00032788;0.59158913;8;;;
;2_12;2;12;0.754271551;0.687244765;-0.021882669;0.595121262;5;;;
122;3_20;3;20;0.773902756;0.662349125;-0.0015498;0.596244675;122;;;
28;1_10;1;10;0.753624981;0.700184535;-0.047859051;0.597452051;28;;;
123;3_25;3;25;0.777341776;0.658669331;-0.00058622;0.601712193;123;;;
1;0.5_2;0.5;2;0.775339881;0.67841154;-0.047676366;0.605308491;1;;;
124;3_30;3;30;0.780265627;0.655535977;-0.001144794;0.605846105;124;;;
125;3_35;3;35;0.782313728;0.65336682;-0.000307516;0.609068606;125;;;
75;2_15;2;15;0.768280912;0.674230792;-0.025845102;0.610224722;75;;;
24;1_2;1;2;0.790710319;0.666824768;-0.040183622;0.610258482;24;;;
;2_14;2;14;0.768352812;0.673028194;-0.024498479;0.611236709;6;;;
;1_12;1;12;0.768773998;0.691457804;-0.062417428;0.611454361;3;;;
126;3_40;3;40;0.783918106;0.651685131;0.001157752;0.611749798;126;;;
127;3_45;3;45;0.784999473;0.65056382;0.001851914;0.612971578;127;;;
5;0.5_10;0.5;10;0.774940416;0.684750926;-0.068739868;0.613079986;5;;;
128;3_50;3;50;0.786114306;0.649369144;0.00285938;0.614350236;128;;;
129;3_55;3;55;0.786632127;0.64885751;0.003482569;0.615155778;129;;;
130;3_60;3;60;0.787193997;0.648282653;0.004396743;0.615709944;130;;;
131;3_65;3;65;0.787671824;0.647795544;0.004989178;0.616192386;131;;;
132;3_70;3;70;0.787764835;0.647751366;0.005532597;0.616326794;132;;;
134;3_80;3;80;0.788063036;0.647520759;0.006883982;0.616504611;134;;;
133;3_75;3;75;0.787947764;0.647599463;0.006184252;0.61657108;133;;;
135;3_85;3;85;0.788265824;0.647328068;0.00755627;0.616750158;135;;;
70;2_2;2;2;0.814598314;0.649472796;-0.028174038;0.616772551;70;;;
136;3_90;3;90;0.788403846;0.647213188;0.008252096;0.616828553;136;;;
137;3_95;3;95;0.788600974;0.647023116;0.008958551;0.616939453;137;;;
138;3_100;3;100;0.788771045;0.64686182;0.009701571;0.61705164;138;;;
116;3_2;3;2;0.827912199;0.640466715;-0.018987404;0.622148317;116;;;
162;4_2;4;2;0.835298299;0.635890368;-0.012271897;0.626004539;162;;;
76;2_20;2;20;0.781310377;0.663668475;-0.035136904;0.628793275;76;;;
;0.5_12;0.5;12;0.795079236;0.671424942;-0.087501615;0.630753748;1;;;
29;1_15;1;15;0.797517078;0.667838064;-0.075359108;0.639932102;29;;;
77;2_25;2;25;0.790675995;0.656962478;-0.037974493;0.640898254;77;;;
;1_14;1;14;0.795773752;0.663881677;-0.071137752;0.640988264;4;;;
78;2_30;2;30;0.799905557;0.649256245;-0.0430662;0.650676185;78;;;
79;2_35;2;35;0.806718275;0.643617019;-0.043955347;0.6589941;79;;;
80;2_40;2;40;0.812134795;0.639185449;-0.042249145;0.666184853;80;;;
