"","run","power","nn","RMSE","cor","ME","MAE","run2"
"1","1_1",1,1,0.945904634158791,0.577890928848629,0.00721153846153846,0.698557692307692,1
"2","1_2",1,2,0.790710319117032,0.666824768119549,-0.0401836218438051,0.610258482475559,2
"3","1_4",1,4,0.715975866735781,0.720962620748169,-0.00454608639438332,0.555641121293648,3
"4","1_6",1,6,0.732097031641151,0.709570585539682,-0.0199794900424868,0.576003440827204,4
"5","1_8",1,8,0.722128426067709,0.726492556632598,-0.0443383223723313,0.579567922736482,5
"6","1_10",1,10,0.753624981320562,0.700184535173149,-0.0478590511568871,0.597452051280197,6
"7","1_12",1,12,0.768773997636909,0.691457803676167,-0.0624174280689011,0.611454361187015,7
"8","1_14",1,14,0.795773752210666,0.663881676590961,-0.0711377518757712,0.640988264065457,8
"9","1_16",1,16,0.803095849476252,0.664026286518811,-0.077980058167546,0.64935210870743,9
"10","1_18",1,18,0.812983432437951,0.662124158637489,-0.0920439654037232,0.66311668806311,10
"11","1_20",1,20,0.83051795064365,0.644622665950267,-0.0996608981599848,0.682523139659732,11
"12","1_22",1,22,0.842483387759924,0.638468225587299,-0.097332748032691,0.693733340941637,12
"13","1_24",1,24,0.851058754759715,0.636430822549654,-0.106367854212462,0.703328386750744,13
"14","1_26",1,26,0.863781898421927,0.624843706201408,-0.118170113955709,0.715010659390172,14
"15","1_28",1,28,0.875198814212821,0.611517199516832,-0.118083271886753,0.724938524633639,15
"16","1_30",1,30,0.881007154401472,0.612473521959443,-0.12664880974375,0.731724631808163,16
"17","1_104",1,104,0.951247421853172,0.599787808590331,-0.0493757247620578,0.794152648481532,17
"18","2_1",2,1,0.945904634158791,0.577890928848629,0.00721153846153846,0.698557692307692,18
"19","2_2",2,2,0.814598314216215,0.6494727964026,-0.028174037844506,0.616772551171489,19
"20","2_4",2,4,0.741988937337016,0.697172248985628,0.00361528524377128,0.565653724647403,20
"21","2_6",2,6,0.743070514167911,0.694660839400709,-0.00236977338864403,0.575070480233032,21
"22","2_8",2,8,0.733572677646146,0.705182783520514,-0.0176159060729155,0.57778032798814,22
"23","2_10",2,10,0.748111375763449,0.691785828988833,-0.0157670616226887,0.588985265808743,23
"24","2_12",2,12,0.754271551056151,0.687244764805459,-0.0218826694712801,0.595121261653699,24
"25","2_14",2,14,0.76835281197068,0.673028193950772,-0.0244984790959664,0.611236709150551,25
"26","2_16",2,16,0.771032651945256,0.67187558908424,-0.0271306002601462,0.615372935311083,26
"27","2_18",2,18,0.773408870582219,0.671536463169321,-0.0327863181108391,0.62055241833453,27
"28","2_20",2,20,0.781310377223261,0.663668475136625,-0.0351369040655839,0.628793274994533,28
"29","2_22",2,22,0.785919157456309,0.66024432915214,-0.032173973522882,0.634156846024037,29
"30","2_24",2,24,0.789529734524398,0.657576295664928,-0.0356060450682646,0.639144894550731,30
"31","2_26",2,26,0.793408654848133,0.65447867905718,-0.0401082302065263,0.642928200986836,31
"32","2_28",2,28,0.797814612706643,0.650404598164865,-0.0395864717275198,0.647558884100063,32
"33","2_30",2,30,0.799905557366208,0.649256245073538,-0.0430661995840683,0.650676184912003,33
"34","2_104",2,104,0.830945439838581,0.627726719345091,-0.0169613134871891,0.679902290500929,34
"35","3_1",3,1,0.945904634158791,0.577890928848629,0.00721153846153846,0.698557692307692,35
"36","3_2",3,2,0.827912198956552,0.640466715369411,-0.0189874044903486,0.622148316536683,36
"37","3_4",3,4,0.761517441180364,0.681039581604398,0.0088263454098418,0.573145171805505,37
"38","3_6",3,6,0.759507661790694,0.679588610831974,0.00757345063710078,0.574867538380596,38
"39","3_8",3,8,0.752704018949095,0.685533272161724,-0.00208464643183562,0.573483485804725,39
"40","3_10",3,10,0.759817722855739,0.677768360132093,0.00180717072846923,0.580647035266023,40
"41","3_12",3,12,0.762477688062059,0.674737456105617,0.000191824653153247,0.583819711233835,41
"42","3_14",3,14,0.769596273547927,0.667083626606663,0.000327880184725706,0.591589129977185,42
"43","3_16",3,16,0.770581887963272,0.66595687438683,-0.000168157663806558,0.592337913595251,43
"44","3_18",3,18,0.770399769470637,0.666154486482135,-0.00151114780189584,0.593041203565391,44
"45","3_20",3,20,0.7739027557238,0.66234912490152,-0.00154979959742146,0.596244674892162,45
