"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"1","0.5_2",1.81735046596904,NA,1.2,-0.617350465969045,NA,1,333018.618,6993304.537
"2","0.5_2",1.94189820092002,NA,1.2,-0.741898200920022,NA,2,333009.211,6993305.666
"3","0.5_2",2.00681379552403,NA,2.7,0.693186204475966,NA,3,332999.395,6993306.897
"4","0.5_2",2.9448378609707,NA,2.75,-0.194837860970696,NA,4,332991.182,6993308.631
"5","0.5_2",3.16656283806036,NA,3.2,0.0334371619396445,NA,5,332982.212,6993310.261
"6","0.5_2",2.87663624452856,NA,3.6,0.723363755471436,NA,6,332972.505,6993312.05
"7","0.5_2",3.20600056233664,NA,2.55,-0.656000562336638,NA,7,332962.585,6993313.789
"8","0.5_2",2.37323971495263,NA,2.8,0.426760285047371,NA,8,332951.98,6993315.167
"9","0.5_2",2.41702483903912,NA,2.2,-0.217024839039116,NA,9,332941.866,6993316.964
"10","0.5_2",2.00439518053531,NA,2.05,0.0456048194646885,NA,10,332932.859,6993319.772
"11","0.5_2",1.42678579044008,NA,1.8,0.373214209559918,NA,11,332922.7,6993321.48
"12","0.5_2",1.36959941786373,NA,0.8,-0.56959941786373,NA,12,332912.373,6993322.869
"13","0.5_2",0.850780662000738,NA,0.95,0.0992193379992617,NA,13,332902.534,6993323.998
"14","0.5_2",0.901157524879242,NA,0.9,-0.0011575248792417,NA,14,332893.525,6993326.322
"15","0.5_2",0.975260904419187,NA,0.85,-0.125260904419187,NA,15,332883.506,6993328.271
"16","0.5_2",0.775003088385024,NA,1.05,0.274996911614976,NA,16,332873.585,6993329.972
"17","0.5_2",0.967153903122585,NA,0.7,-0.267153903122585,NA,17,332863.701,6993331.885
"18","0.5_2",0.911118919625971,NA,0,-0.911118919625971,NA,18,333015.369,6993324.023
"19","0.5_2",1.93319787520195,NA,1.55,-0.383197875201953,NA,19,332995.003,6993328.256
"20","0.5_2",0.770681231948229,NA,0.7,-0.0706812319482292,NA,20,333005.523,6993327.185
"21","0.5_2",2.02206977734235,NA,3.6,1.57793022265765,NA,21,332976.327,6993333.194
"22","0.5_2",3.32283560138025,NA,3.5,0.177164398619753,NA,22,332956.873,6993337.775
"23","0.5_2",2.63095669615904,NA,3.05,0.419043303840958,NA,23,332937.844,6993340.94
"24","0.5_2",2.15312090087913,NA,1.75,-0.403120900879129,NA,24,332918.199,6993343.59
"25","0.5_2",1.62444317891821,NA,1.25,-0.374443178918206,NA,25,332899.339,6993350.54
"26","0.5_2",1.50049266590248,NA,1.5,-0.000492665902481537,NA,26,332879.755,6993353.055
"27","0.5_2",1.55023367697956,NA,1.75,0.19976632302044,NA,27,332860.509,6993356.709
"28","0.5_2",1.52688533261722,NA,1.6,0.0731146673827849,NA,28,332865.94,6993375.153
"29","0.5_2",1.47560173297361,NA,1.3,-0.175601732973614,NA,29,332885.685,6993372.82
"30","0.5_2",2.5599294117212,NA,1.35,-1.2099294117212,NA,30,332905.726,6993369.789
"31","0.5_2",2.52839943865643,NA,3.8,1.27160056134357,NA,31,332924.816,6993365.195
"32","0.5_2",3.6989651614286,NA,3.7,0.00103483857140008,NA,32,332943.75,6993360.927
"33","0.5_2",3.60166847986661,NA,3.6,-0.00166847986660956,NA,33,332961.958,6993357.022
"34","0.5_2",3.62729238577195,NA,2.5,-1.12729238577195,NA,34,332981.786,6993352.227
"35","0.5_2",1.81540187510986,NA,3.65,1.83459812489014,NA,35,332995.24,6993349.607
"36","0.5_2",2.72328739820201,NA,1.35,-1.37328739820201,NA,36,333001.556,6993349.122
"37","0.5_2",1.46577211060068,NA,1.1,-0.365772110600684,NA,37,333008.536,6993367.262
"38","0.5_2",2.17823183739129,NA,1.55,-0.628231837391288,NA,38,332998.326,6993368.525
"39","0.5_2",1.60153366507702,NA,4.05,2.44846633492298,NA,39,332978.99,6993373.792
"40","0.5_2",1.97704197182705,NA,2.2,0.222958028172952,NA,40,332959.235,6993378.042
"41","0.5_2",2.84550238612085,NA,1.9,-0.945502386120846,NA,41,332940.802,6993384.692
"42","0.5_2",2.05391837212941,NA,3,0.946081627870588,NA,42,332922.183,6993389.868
"43","0.5_2",2.70054563263027,NA,3.25,0.549454367369729,NA,43,332903.15,6993394.332
"44","0.5_2",2.70214551247155,NA,3.35,0.64785448752845,NA,44,332883.801,6993398.48
"45","0.5_2",2.81018807705506,NA,3.2,0.389811922944941,NA,45,332864.88,6993402.784
"46","0.5_2",0.924136995882063,NA,2.15,1.22586300411794,NA,46,333003.574,6993387.984
"47","0.5_2",1.78656942498774,NA,0.5,-1.28656942498774,NA,47,333009.572,6993390.618
"48","0.5_2",3.11880373776853,NA,1.65,-1.46880373776853,NA,48,332984.569,6993390.617
"49","0.5_2",2.44391056507316,NA,2.05,-0.393910565073161,NA,49,332965.091,6993394.611
"50","0.5_2",2.14596142003306,NA,2.7,0.554038579966937,NA,50,332946.726,6993400.776
"51","0.5_2",2.97450605459726,NA,2.2,-0.774506054597257,NA,51,332928.236,6993406.189
