;run;power;nn;volume;;;;;
77;2_25;2;25;76715.5478;;;;min;76715.5478
78;2_30;2;30;76715.99687;;;;max;78420.23451
76;2_20;2;20;76716.13271;;;;mean;76780.23723
79;2_35;2;35;76716.62726;;;;range %;1.110107737
80;2_40;2;40;76717.23604;;;;;
124;3_30;3;30;76717.70188;;;;;
81;2_45;2;45;76717.78463;;;;;
125;3_35;3;35;76717.89535;;;;;
123;3_25;3;25;76718.10397;;;;;
126;3_40;3;40;76718.22059;;;;;
82;2_50;2;50;76718.27474;;;;;
127;3_45;3;45;76718.55496;;;;;
171;4_35;4;35;76718.58143;;;;;
10;0.5_35;0.5;35;76718.58289;;;;;
170;4_30;4;30;76718.66665;;;;;
9;0.5_30;0.5;30;76718.67459;;;;;
83;2_55;2;55;76718.71583;;;;;
172;4_40;4;40;76718.73665;;;;;
11;0.5_40;0.5;40;76718.73677;;;;;
128;3_50;3;50;76718.87098;;;;;
12;0.5_45;0.5;45;76718.95813;;;;;
173;4_45;4;45;76718.95821;;;;;
84;2_60;2;60;76719.11703;;;;;
129;3_55;3;55;76719.16657;;;;;
13;0.5_50;0.5;50;76719.19369;;;;;
174;4_50;4;50;76719.19376;;;;;
14;0.5_55;0.5;55;76719.42858;;;;;
175;4_55;4;55;76719.42861;;;;;
130;3_60;3;60;76719.44519;;;;;
85;2_65;2;65;76719.48565;;;;;
169;4_25;4;25;76719.57033;;;;;
8;0.5_25;0.5;25;76719.60611;;;;;
15;0.5_60;0.5;60;76719.65954;;;;;
176;4_60;4;60;76719.65956;;;;;
131;3_65;3;65;76719.71054;;;;;
86;2_70;2;70;76719.82732;;;;;
16;0.5_65;0.5;65;76719.88655;;;;;
177;4_65;4;65;76719.88656;;;;;
132;3_70;3;70;76719.96546;;;;;
17;0.5_70;0.5;70;76720.11016;;;;;
178;4_70;4;70;76720.11017;;;;;
87;2_75;2;75;76720.14639;;;;;
133;3_75;3;75;76720.21191;;;;;
18;0.5_75;0.5;75;76720.33086;;;;;
179;4_75;4;75;76720.33086;;;;;
88;2_80;2;80;76720.44629;;;;;
134;3_80;3;80;76720.45119;;;;;
19;0.5_80;0.5;80;76720.54889;;;;;
180;4_80;4;80;76720.5489;;;;;
135;3_85;3;85;76720.68416;;;;;
89;2_85;2;85;76720.72979;;;;;
20;0.5_85;0.5;85;76720.76433;;;;;
181;4_85;4;85;76720.76433;;;;;
122;3_20;3;20;76720.80363;;;;;
136;3_90;3;90;76720.91144;;;;;
21;0.5_90;0.5;90;76720.97714;;;;;
182;4_90;4;90;76720.97714;;;;;
90;2_90;2;90;76720.99914;;;;;
137;3_95;3;95;76721.13346;;;;;
22;0.5_95;0.5;95;76721.18725;;;;;
183;4_95;4;95;76721.18725;;;;;
91;2_95;2;95;76721.25623;;;;;
75;2_15;2;15;76721.31924;;;;;
138;3_100;3;100;76721.3506;;;;;
23;0.5_100;0.5;100;76721.39459;;;;;
184;4_100;4;100;76721.39459;;;;;
92;2_100;2;100;76721.5026;;;;;
168;4_20;4;20;76723.28276;;;;;
7;0.5_20;0.5;20;76723.43242;;;;;
121;3_15;3;15;76732.21771;;;;;
24;1_2;1;2;76733.9;;;;;
25;1_4;1;4;76733.9;;;;;
26;1_6;1;6;76733.9;;;;;
27;1_8;1;8;76733.9;;;;;
28;1_10;1;10;76733.9;;;;;
29;1_15;1;15;76733.9;;;;;
30;1_20;1;20;76733.9;;;;;
31;1_25;1;25;76733.9;;;;;
32;1_30;1;30;76733.9;;;;;
33;1_35;1;35;76733.9;;;;;
34;1_40;1;40;76733.9;;;;;
35;1_45;1;45;76733.9;;;;;
36;1_50;1;50;76733.9;;;;;
37;1_55;1;55;76733.9;;;;;
38;1_60;1;60;76733.9;;;;;
39;1_65;1;65;76733.9;;;;;
40;1_70;1;70;76733.9;;;;;
41;1_75;1;75;76733.9;;;;;
42;1_80;1;80;76733.9;;;;;
43;1_85;1;85;76733.9;;;;;
44;1_90;1;90;76733.9;;;;;
45;1_95;1;95;76733.9;;;;;
46;1_100;1;100;76733.9;;;;;
167;4_15;4;15;76737.12617;;;;;
6;0.5_15;0.5;15;76737.77096;;;;;
74;2_10;2;10;76747.40019;;;;;
73;2_8;2;8;76776.71551;;;;;
120;3_10;3;10;76778.25158;;;;;
166;4_10;4;10;76790.99691;;;;;
5;0.5_10;0.5;10;76795.27865;;;;;
119;3_8;3;8;76824.90642;;;;;
72;2_6;2;6;76833.34813;;;;;
165;4_8;4;8;76846.08376;;;;;
4;0.5_8;0.5;8;76858.88792;;;;;
118;3_6;3;6;76908.69246;;;;;
71;2_4;2;4;76943.85775;;;;;
164;4_6;4;6;76947.67779;;;;;
3;0.5_6;0.5;6;76996.78309;;;;;
117;3_4;3;4;77058.81225;;;;;
163;4_4;4;4;77138.55617;;;;;
70;2_2;2;2;77153.92523;;;;;
116;3_2;3;2;77315.15518;;;;;
2;0.5_4;0.5;4;77361.34406;;;;;
162;4_2;4;2;77486.48123;;;;;
1;0.5_2;0.5;2;78420.23451;;;;;
