"","run","power","nn","volume"
"1","1_1",1,1,33664.2
"2","1_2",1,2,33614.8670227523
"3","1_4",1,4,33427.4392680849
"4","1_6",1,6,33229.556061917
"5","1_8",1,8,33345.4308841236
"6","1_10",1,10,33442.8787649829
"7","1_12",1,12,33549.6347633339
"8","1_14",1,14,33583.6451408742
"9","1_16",1,16,33672.2063502415
"10","1_18",1,18,33770.0048603373
"11","1_20",1,20,33783.9599287044
"12","1_22",1,22,33778.9419882628
"13","1_24",1,24,33773.188462679
"14","1_26",1,26,33753.9328269962
"15","1_28",1,28,33727.6366300474
"16","1_30",1,30,33690.7056168291
"17","1_78",1,78,31646.7858508145
"18","2_1",2,1,33664.2
"19","2_2",2,2,33589.8557309753
"20","2_4",2,4,33473.1702952698
"21","2_6",2,6,33333.9522420212
"22","2_8",2,8,33323.6784357103
"23","2_10",2,10,33303.4757452507
"24","2_12",2,12,33300.3791000575
"25","2_14",2,14,33286.7941936415
"26","2_16",2,16,33292.1172361781
"27","2_18",2,18,33299.3195665569
"28","2_20",2,20,33286.9462618325
"29","2_22",2,22,33273.4396214028
"30","2_24",2,24,33263.7231262744
"31","2_26",2,26,33251.9237782124
"32","2_28",2,28,33243.4998197204
"33","2_30",2,30,33229.4903949873
"34","2_78",2,78,32616.9636865016
"35","3_1",3,1,33664.2
"36","3_2",3,2,33576.9186096319
"37","3_4",3,4,33494.8487002228
"38","3_6",3,6,33415.3324421671
"39","3_8",3,8,33384.3886242601
"40","3_10",3,10,33352.3010964826
"41","3_12",3,12,33334.5710013467
"42","3_14",3,14,33319.7433578379
"43","3_16",3,16,33314.3299657832
"44","3_18",3,18,33310.0326787831
"45","3_20",3,20,33301.5029479925
"46","3_22",3,22,33293.6941181493
"47","3_24",3,24,33288.4067103968
"48","3_26",3,26,33283.3412258895
"49","3_28",3,28,33281.4518193176
"50","3_30",3,30,33277.3974309364
"51","3_78",3,78,33150.2799965158
"52","4_1",4,1,33664.2
"53","4_2",4,2,33571.0070619192
"54","4_4",4,4,33510.2465693151
"55","4_6",4,6,33468.577146707
"56","4_8",4,8,33445.4392538805
"57","4_10",4,10,33425.2987764983
"58","4_12",4,12,33414.2947634322
"59","4_14",4,14,33406.684229308
"60","4_16",4,16,33403.8286276574
"61","4_18",4,18,33401.7566757773
"62","4_20",4,20,33398.6129113877
"63","4_22",4,22,33395.7553174685
"64","4_24",4,24,33393.9307376181
"65","4_26",4,26,33392.3747699521
"66","4_28",4,28,33392.1426183452
"67","4_30",4,30,33391.3465861642
"68","4_78",4,78,33369.1519483975
