"","run","power","nn","volume"
"1","1_1",1,1,34795.57
"2","1_2",1,2,35055.1815453416
"3","1_4",1,4,35146.0850039639
"4","1_6",1,6,35270.9135438433
"5","1_8",1,8,35603.0965791272
"6","1_10",1,10,35821.4988165807
"7","1_12",1,12,36085.6459289423
"8","1_14",1,14,36242.9923908877
"9","1_16",1,16,36400.9705109077
"10","1_18",1,18,36546.0688397492
"11","1_20",1,20,36631.8717501482
"12","1_22",1,22,36677.6597686723
"13","1_24",1,24,36663.6480767032
"14","1_26",1,26,36623.5331350244
"15","1_28",1,28,36609.6586712838
"16","1_30",1,30,36585.4023792761
"17","1_69",1,69,35110.4008194077
"18","2_1",2,1,34795.57
"19","2_2",2,2,34936.3213217708
"20","2_4",2,4,34999.2339682015
"21","2_6",2,6,35046.9988023812
"22","2_8",2,8,35152.4289900932
"23","2_10",2,10,35204.7118627053
"24","2_12",2,12,35280.4395077608
"25","2_14",2,14,35330.4313529759
"26","2_16",2,16,35379.3582265406
"27","2_18",2,18,35413.1449882596
"28","2_20",2,20,35436.1397759512
"29","2_22",2,22,35452.5633641883
"30","2_24",2,24,35456.3246381474
"31","2_26",2,26,35452.596773347
"32","2_28",2,28,35453.1645463231
"33","2_30",2,30,35448.004070403
"34","2_69",2,69,35079.5884319792
"35","3_1",3,1,34795.57
"36","3_2",3,2,34869.8946085619
"37","3_4",3,4,34903.5029061794
"38","3_6",3,6,34923.1762531116
"39","3_8",3,8,34950.3908007623
"40","3_10",3,10,34952.8591071512
"41","3_12",3,12,34967.7972900953
"42","3_14",3,14,34978.8954201031
"43","3_16",3,16,34991.8291152835
"44","3_18",3,18,34996.9938803928
"45","3_20",3,20,34999.9134104406
"46","3_22",3,22,35003.2717676974
"47","3_24",3,24,35004.8640793889
"48","3_26",3,26,35005.2689912594
"49","3_28",3,28,35006.2360942679
"50","3_30",3,30,35005.2030713637
"51","3_69",3,69,34935.0125193963
"52","4_1",4,1,34795.57
"53","4_2",4,2,34832.7796972541
"54","4_4",4,4,34848.8111892724
"55","4_6",4,6,34859.2812688324
"56","4_8",4,8,34864.9329609898
"57","4_10",4,10,34860.3379858983
"58","4_12",4,12,34862.2646239283
"59","4_14",4,14,34864.5480185431
"60","4_16",4,16,34868.4711310012
"61","4_18",4,18,34869.4083465774
"62","4_20",4,20,34869.5407030534
"63","4_22",4,22,34870.4076955003
"64","4_24",4,24,34871.0394144095
"65","4_26",4,26,34871.5000756486
"66","4_28",4,28,34872.0481137356
"67","4_30",4,30,34872.0556813006
"68","4_69",4,69,34860.8014206192
